# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   41       1.677233737968e-10       8.243001485574e-15       2.280604758424e-13       0.000000000000e+00       1.118514308155e-10      -1.213592430080e-11      -7.153898072092e-15 
   42       1.700890937712e-10       8.931615730409e-15       2.174821314588e-13       0.000000000000e+00       1.060738062786e-10      -1.142730474488e-11      -6.514684670689e-15 
   43       1.725338802364e-10       9.656694233722e-15       2.057207156173e-13       0.000000000000e+00       1.006932712953e-10      -1.075029731741e-11      -6.631450730439e-15 
   44       1.748924733044e-10       1.041830309728e-14       1.927442107845e-13       0.000000000000e+00       9.567481240699e-11      -1.012585481951e-11      -7.549354191788e-15 
   45       1.773325624280e-10       1.121765737788e-14       1.784870421570e-13       0.000000000000e+00       9.098871561735e-11      -9.560562639840e-12      -9.267901890166e-15 
   46       1.797989657082e-10       1.205477993473e-14       1.625731876577e-13       0.000000000000e+00       8.660564520755e-11      -9.012484210056e-12      -1.085564373465e-14 
   47       1.822896434504e-10       1.292917652226e-14       1.448815491447e-13       0.000000000000e+00       8.250399748900e-11      -8.486899754499e-12      -1.200178081282e-14 
   48       1.848313058315e-10       1.384031430248e-14       1.253655845060e-13       0.000000000000e+00       7.865800873695e-11      -8.002809691587e-12      -1.264028719940e-14 
   49       1.873910625533e-10       1.478813872525e-14       1.038914976128e-13       0.000000000000e+00       7.504977496769e-11      -7.562259234317e-12      -1.274057651034e-14 
   50       1.899330711460e-10       1.577294944460e-14       8.032842572568e-14       0.000000000000e+00       7.165906069828e-11      -7.160190055980e-12      -1.229286287640e-14 
   51       1.925020136029e-10       1.679616109848e-14       5.469691109598e-14       0.000000000000e+00       6.847109163099e-11      -6.784578813608e-12      -1.132455709824e-14 
   52       1.951466197882e-10       1.785918300701e-14       2.709351688358e-14       0.000000000000e+00       6.546910607146e-11      -6.423652820938e-12      -9.918908521489e-15 
   53       1.978195731676e-10       1.896167683795e-14      -2.277921322905e-15       0.000000000000e+00       6.264087132753e-11      -6.081568822047e-12      -8.328144192180e-15 
   54       2.004658362798e-10       2.010287741488e-14      -3.322140993114e-14       0.000000000000e+00       5.997262714015e-11      -5.764972210689e-12      -6.849156588832e-15 
   55       2.031376900735e-10       2.128267292652e-14      -6.578670836702e-14       0.000000000000e+00       5.745413368640e-11      -5.471061439427e-12      -5.670269689513e-15 
   56       2.058951025310e-10       2.250091989280e-14      -1.000434440922e-13       0.000000000000e+00       5.507391341444e-11      -5.194037612372e-12      -4.932630828908e-15 
   57       2.086834808346e-10       2.375667788026e-14      -1.358266941201e-13       0.000000000000e+00       5.282335170437e-11      -4.929125130041e-12      -4.659461892033e-15 
   58       2.114378758486e-10       2.504898694208e-14      -1.729601202262e-13       0.000000000000e+00       5.069284523180e-11      -4.673287512394e-12      -4.835341107921e-15 
   59       2.142106518387e-10       2.637814774275e-14      -2.115595600668e-13       0.000000000000e+00       4.867508981736e-11      -4.431903341950e-12      -5.430511816357e-15 
   60       2.170659579612e-10       2.774479327428e-14      -2.518060784840e-13       0.000000000000e+00       4.676198242759e-11      -4.210857402552e-12      -6.369577715379e-15 
   61       2.199607259383e-10       2.914937071365e-14      -2.937633420005e-13       0.000000000000e+00       4.494732464972e-11      -4.006948168676e-12      -7.418358026992e-15 
   62       2.228391689633e-10       3.059200938986e-14      -3.374661355327e-13       0.000000000000e+00       4.322427437335e-11      -3.814631949856e-12      -8.319501806293e-15 
   63       2.257369637151e-10       3.207162795582e-14      -3.829537582164e-13       0.000000000000e+00       4.158753781453e-11      -3.631055485060e-12      -8.980016843249e-15 
   64       2.287005677484e-10       3.358688142669e-14      -4.302592961314e-13       0.000000000000e+00       4.003130147060e-11      -3.454690501556e-12      -9.360211811991e-15 
   65       2.317031827545e-10       3.513708866862e-14      -4.793763848845e-13       0.000000000000e+00       3.855107691228e-11      -3.287580869811e-12      -9.468363636673e-15 
   66       2.347078595075e-10       3.672162677414e-14      -5.302843192278e-13       0.000000000000e+00       3.714190831480e-11      -3.132009627084e-12      -9.335259346492e-15 
   67       2.377319438639e-10       3.833947566099e-14      -5.829538632131e-13       0.000000000000e+00       3.579970062387e-11      -2.986780086992e-12      -9.021976213939e-15 
   68       2.408021833961e-10       3.998948058122e-14      -6.373448288621e-13       0.000000000000e+00       3.452007925244e-11      -2.849762019086e-12      -8.608813304066e-15 
   69       2.439169060718e-10       4.167060181388e-14      -6.933899942838e-13       0.000000000000e+00       3.330018624312e-11      -2.719684727147e-12      -8.202313640221e-15 
   70       2.470654961763e-10       4.338177164679e-14      -7.510085718597e-13       0.000000000000e+00       3.213656265164e-11      -2.595329292165e-12      -7.925970349527e-15 
   71       2.502382483444e-10       4.512196759966e-14      -8.101298098531e-13       0.000000000000e+00       3.102510922482e-11      -2.475670949313e-12      -7.887743233987e-15 
   72       2.534354891775e-10       4.689061723053e-14      -8.707536410125e-13       0.000000000000e+00       2.996350248901e-11      -2.361292805465e-12      -8.085631163973e-15 
   73       2.566600866793e-10       4.868726974360e-14      -9.329014464382e-13       0.000000000000e+00       2.894913246929e-11      -2.253229675412e-12      -8.484523204868e-15 
   74       2.599148398835e-10       5.051143501960e-14      -9.965949687154e-13       0.000000000000e+00       2.797887261395e-11      -2.152140827569e-12      -9.035413503585e-15 
   75       2.632027939298e-10       5.236244545080e-14      -1.061845419104e-12       0.000000000000e+00       2.705078323746e-11      -2.056991074587e-12      -9.648232272173e-15 
   76       2.665269535205e-10       5.423957080130e-14      -1.128662685678e-12       0.000000000000e+00       2.616264205772e-11      -1.966121856751e-12      -1.021353773215e-14 
   77       2.698889012437e-10       5.614184446352e-14      -1.197036632378e-12       0.000000000000e+00       2.531184295714e-11      -1.878116979459e-12      -1.063910825081e-14 
   78       2.732847114727e-10       5.806737307358e-14      -1.266866356278e-12       0.000000000000e+00       2.449680399401e-11      -1.793353530496e-12      -1.094270731046e-14 
   79       2.767082703979e-10       6.001390293639e-14      -1.338018357912e-12       0.000000000000e+00       2.371574914396e-11      -1.712715453615e-12      -1.117540027685e-14 
   80       2.801546108264e-10       6.197907073232e-14      -1.410370873252e-12       0.000000000000e+00       2.296659367632e-11      -1.636849806712e-12      -1.137313078721e-14 
   81       2.836268170715e-10       6.396055996826e-14      -1.483889337681e-12       0.000000000000e+00       2.224800306907e-11      -1.565261646377e-12      -1.148953002350e-14 
   82       2.871302517059e-10       6.595596493044e-14      -1.558563511740e-12       0.000000000000e+00       2.155847002410e-11      -1.497062764749e-12      -1.145173752764e-14 
   83       2.906691272515e-10       6.796289222955e-14      -1.634367723617e-12       0.000000000000e+00       2.089625078320e-11      -1.431417142695e-12      -1.121866225537e-14 
   84       2.942421492705e-10       6.997944327806e-14      -1.711205562678e-12       0.000000000000e+00       2.026023672656e-11      -1.368113263638e-12      -1.090349451184e-14 
   85       2.978461395469e-10       7.200380787480e-14      -1.788956092942e-12       0.000000000000e+00       1.964919212473e-11      -1.307080161628e-12      -1.067147323632e-14 
   86       3.014784626957e-10       7.403421279560e-14      -1.867523213461e-12       0.000000000000e+00       1.906169158353e-11      -1.248323461105e-12      -1.064804446145e-14 
   87       3.051406664211e-10       7.606921989031e-14      -1.946940614441e-12       0.000000000000e+00       1.849680301549e-11      -1.192272667115e-12      -1.074188700605e-14 
   88       3.088353911747e-10       7.810747610327e-14      -2.027283589006e-12       0.000000000000e+00       1.795348712751e-11      -1.139488065811e-12      -1.079392124251e-14 
   89       3.125646572576e-10       8.014776466489e-14      -2.108616220279e-12       0.000000000000e+00       1.743054814094e-11      -1.090318728815e-12      -1.067419426693e-14 
   90       3.163279181537e-10       8.218944923571e-14      -2.190922808607e-12       0.000000000000e+00       1.692716893381e-11      -1.044146014878e-12      -1.042189055653e-14 
   91       3.201236913661e-10       8.423210209645e-14      -2.274166287458e-12       0.000000000000e+00       1.644243787050e-11      -1.000021707153e-12      -1.012659794610e-14 
   92       3.239503615072e-10       8.627510999765e-14      -2.358298322515e-12       0.000000000000e+00       1.597534137247e-11      -9.571074270481e-13      -9.865567064643e-15 
   93       3.278069072715e-10       8.831683838752e-14      -2.443225546330e-12       0.000000000000e+00       1.552528325205e-11      -9.153538548927e-13      -9.638054979648e-15 
   94       3.316922594862e-10       9.035534578295e-14      -2.528838220441e-12       0.000000000000e+00       1.509162700567e-11      -8.749194831806e-13      -9.421389127460e-15 
   95       3.356050668433e-10       9.238863649047e-14      -2.615020305878e-12       0.000000000000e+00       1.467352908069e-11      -8.359647512153e-13      -9.190781571105e-15 
   96       3.395441853794e-10       9.441446661778e-14      -2.701652955641e-12       0.000000000000e+00       1.427008484192e-11      -7.986267232556e-13      -8.926932720429e-15 
   97       3.435102518587e-10       9.642973054006e-14      -2.788625836922e-12       0.000000000000e+00       1.388080644963e-11      -7.629390846149e-13      -8.640234472310e-15 
   98       3.475043210154e-10       9.843098385622e-14      -2.875827243596e-12       0.000000000000e+00       1.350520163510e-11      -7.289002638796e-13      -8.350007812383e-15 
   99       3.515273814792e-10       1.004146262340e-13      -2.963140556034e-12       0.000000000000e+00       1.314262154555e-11      -6.964972262453e-13      -8.077197004528e-15 
  100       3.555800074341e-10       1.023774585869e-13      -3.050463496071e-12       0.000000000000e+00       1.279236720283e-11      -6.656875107591e-13      -7.839762554773e-15 
  101       3.596612672226e-10       1.043184499047e-13      -3.137769134088e-12       0.000000000000e+00       1.245403725132e-11      -6.363433519136e-13      -7.638034034800e-15 
  102       3.637696528701e-10       1.062372141329e-13      -3.225053340936e-12       0.000000000000e+00       1.212721946013e-11      -6.082989222118e-13      -7.467369546933e-15 
  103       3.679034021135e-10       1.081334760222e-13      -3.312316374940e-12       0.000000000000e+00       1.181137949500e-11      -5.813665762208e-13      -7.322606720846e-15 
  104       3.720609037231e-10       1.100067042989e-13      -3.399545560356e-12       0.000000000000e+00       1.150594595095e-11      -5.553754492774e-13      -7.198598622824e-15 
  105       3.762419939633e-10       1.118549465416e-13      -3.486660324168e-12       0.000000000000e+00       1.121058698013e-11      -5.302945224548e-13      -7.091934191042e-15 
  106       3.804468203794e-10       1.136758432764e-13      -3.573559988896e-12       0.000000000000e+00       1.092496389445e-11      -5.061251075643e-13      -6.999425096141e-15 
  107       3.846754398647e-10       1.154669842941e-13      -3.660140549430e-12       0.000000000000e+00       1.064864263860e-11      -4.828629306319e-13      -6.917568627057e-15 
  108       3.889276615452e-10       1.172260102086e-13      -3.746302146494e-12       0.000000000000e+00       1.038116061484e-11      -4.604984220876e-13      -6.843127519793e-15 
  109       3.932025604816e-10       1.189509327496e-13      -3.831972673882e-12       0.000000000000e+00       1.012224338272e-11      -4.390180316452e-13      -6.774972541794e-15 
  110       3.974988930827e-10       1.206398558872e-13      -3.917087191348e-12       0.000000000000e+00       9.871610814784e-12      -4.184027363026e-13      -6.712466080719e-15 
  111       4.018152393109e-10       1.222908784979e-13      -4.001580727875e-12       0.000000000000e+00       9.628907642362e-12      -3.986273987938e-13      -6.654893768425e-15 
  112       4.061502709714e-10       1.239021629516e-13      -4.085388075286e-12       0.000000000000e+00       9.393754893129e-12      -3.796746712431e-13      -6.600786493389e-15 
  113       4.105036065588e-10       1.254721490174e-13      -4.168443055028e-12       0.000000000000e+00       9.165916337835e-12      -3.615790822811e-13      -6.545793897308e-15 
  114       4.148750542394e-10       1.269993684311e-13      -4.250679232696e-12       0.000000000000e+00       8.945148890845e-12      -3.443881797419e-13      -6.484538405970e-15 
