# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       4.053971597668e-10       7.435067328695e-15       6.862639813912e-13       0.000000000000e+00       2.385189773942e-08      -2.641644468436e-09      -2.989784186628e-12 
    3       3.918487763711e-10       1.250108077393e-14       8.112994334926e-13       0.000000000000e+00       1.395855478686e-08      -1.947540028745e-09      -2.523743519273e-12 
    4       3.550003046906e-10       1.455024757751e-14       7.899882868747e-13       0.000000000000e+00       9.267674876937e-09      -1.476743578729e-09      -1.979952435102e-12 
    5       3.169632727335e-10       1.344183014622e-14       7.013618545216e-13       0.000000000000e+00       6.637218059960e-09      -1.151793845191e-09      -1.467291219839e-12 
    6       2.837021071394e-10       1.036601887609e-14       5.883947879694e-13       0.000000000000e+00       4.994788660820e-09      -9.194952918958e-10      -1.013732903031e-12 
    7       2.561597700628e-10       6.865313619807e-15       4.751995549100e-13       0.000000000000e+00       3.896397613736e-09      -7.485462730771e-10      -6.363712318136e-13 
    8       2.338127568426e-10       4.048226658191e-15       3.739086272550e-13       0.000000000000e+00       3.123140849990e-09      -6.194556092651e-10      -3.417836695940e-13 
    9       2.158472001610e-10       2.326705500113e-15       2.902689600393e-13       0.000000000000e+00       2.556883150531e-09      -5.197970202978e-10      -1.289827574743e-13 
   10       2.014170288507e-10       1.550733298069e-15       2.264467921315e-13       0.000000000000e+00       2.129928956649e-09      -4.414040742479e-10       9.018457467108e-15 
   11       1.898094517289e-10       1.319420221266e-15       1.822875306003e-13       0.000000000000e+00       1.767976596535e-09      -3.748984068663e-10       8.274437941892e-14 
   12       1.804772940178e-10       1.262157291620e-15       1.558706602183e-13       0.000000000000e+00       1.514036650217e-09      -3.246788928549e-10       1.078455722691e-13 
   13       1.729785335051e-10       1.179588980675e-15       1.441358332579e-13       0.000000000000e+00       1.309751285343e-09      -2.831613271715e-10       9.850554338464e-14 
   14       1.669382979622e-10       1.041572814152e-15       1.435254471623e-13       0.000000000000e+00       1.143011211325e-09      -2.487763638282e-10       6.774891683626e-14 
   15       1.621232918846e-10       9.058955886320e-16       1.503420515291e-13       0.000000000000e+00       1.005192717532e-09      -2.197727701758e-10       2.802546404404e-14 
   16       1.583082025636e-10       8.322581638676e-16       1.611171324593e-13       0.000000000000e+00       8.900192617818e-10      -1.951309614714e-10      -1.141647224977e-14 
   17       1.552928655706e-10       8.370128657108e-16       1.730982262581e-13       0.000000000000e+00       7.928255228218e-10      -1.740869117621e-10      -4.412685371216e-14 
   18       1.529742824745e-10       8.947070101327e-16       1.844308673375e-13       0.000000000000e+00       7.100871503492e-10      -1.560516466106e-10      -6.651729265782e-14 
   19       1.512822338861e-10       9.658800740659e-16       1.939978496833e-13       0.000000000000e+00       6.391010333681e-10      -1.405143709495e-10      -7.751913450366e-14 
   20       1.500528711971e-10       1.024909029182e-15       2.013825743333e-13       0.000000000000e+00       5.777672475395e-10      -1.269820705236e-10      -7.792532654853e-14 
   21       1.492037378906e-10       1.071558972824e-15       2.068461791069e-13       0.000000000000e+00       5.244335725864e-10      -1.151313036827e-10      -7.002510781632e-14 
   22       1.487743400892e-10       1.124838500741e-15       2.109122432852e-13       0.000000000000e+00       4.777856431849e-10      -1.047252925879e-10      -5.683636471646e-14 
   23       1.486354592822e-10       1.208082423176e-15       2.142581585655e-13       0.000000000000e+00       4.367671342985e-10      -9.556997985072e-11      -4.155562727668e-14 
   24       1.487904153638e-10       1.336255098597e-15       2.175525174568e-13       0.000000000000e+00       4.005219155212e-10      -8.747790540073e-11      -2.706471465173e-14 
