# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 0.630176 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004333795e-05       2.678965416380e+01 
       2.333095805641e-05       5.805326159423e+01 
       3.625717113354e-05       8.883511411215e+01 
       4.926346145416e-05       1.195363179232e+02 
       6.238518314747e-05       1.504059323586e+02 
       7.565858082820e-05       1.816495335921e+02 
       8.912111491755e-05       2.134587179008e+02 
       1.028118013711e-04       2.460166218336e+02 
       1.167715701734e-04       2.795131010628e+02 
       1.310436469927e-04       3.141422247463e+02 
       1.456739623954e-04       3.501197267773e+02 
       1.607115929610e-04       3.876781037198e+02 
       1.762092384570e-04       4.270643220201e+02 
       1.922237388671e-04       4.685620282940e+02 
       2.088166344034e-04       5.124754100359e+02 
       2.260547705566e-04       5.591544805695e+02 
       2.440109485712e-04       6.089873436105e+02 
       2.627646192567e-04       6.624046524441e+02 
       2.824026144891e-04       7.198959125064e+02 
       3.030199057923e-04       7.820033246418e+02 
       3.247203726287e-04       8.493384440188e+02 
       3.476175540833e-04       9.225824638342e+02 
       3.718353460970e-04       1.002478295250e+03 
       3.975085920654e-04       1.089861539352e+03 
       4.247834974604e-04       1.185617136221e+03 
       4.538177797217e-04       1.290709247333e+03 
       4.847804443246e-04       1.406154180826e+03 
       5.178510592485e-04       1.533008237426e+03 
       5.532183871386e-04       1.672339067101e+03 
       5.910782331532e-04       1.825214831765e+03 
       6.316303842205e-04       1.992645258554e+03 
       6.750745601225e-04       2.175555689278e+03 
       7.216053749246e-04       2.374786755506e+03 
       7.714064205261e-04       2.591001140254e+03 
       8.246437258060e-04       2.824694979262e+03 
       8.814589967750e-04       3.076149615154e+03 
       9.419631754247e-04       3.345413242712e+03 
       1.006230930745e-03       3.632287332343e+03 
       1.074296681075e-03       3.936321133234e+03 
       1.146152625442e-03       4.256813452565e+03 
       1.221749042864e-03       4.592857413946e+03 
       1.300996842025e-03       4.943340092625e+03 
       1.383772067800e-03       5.306992545517e+03 
       1.469921855004e-03       5.682462221978e+03 
       1.559271204023e-03       6.068307071862e+03 
       1.651629948312e-03       6.463081790447e+03 
       1.746799372057e-03       6.865358106903e+03 
       1.844578081754e-03       7.273745275140e+03 
       1.944766898304e-03       7.686929164839e+03 
       2.047172684863e-03       8.103676277728e+03 
       2.151611141021e-03       8.522848470124e+03 
       2.257908670024e-03       8.943409371293e+03 
       2.365903465723e-03       9.364426473008e+03 
       2.475445977673e-03       9.785052038013e+03 
       2.586398905573e-03       1.020455103814e+04 
       2.698636856110e-03       1.062226025254e+04 
       2.812045772658e-03       1.103760418617e+04 
       2.926522225142e-03       1.145007853834e+04 
       3.041972626323e-03       1.185924591568e+04 
       3.158312422777e-03       1.226473097877e+04 
       3.275465294285e-03       1.266620348950e+04 
       3.393362384006e-03       1.306338766931e+04 
       3.511941573302e-03       1.345604991072e+04 
       3.631146808815e-03       1.384398148203e+04 
       3.750927485056e-03       1.422702090943e+04 
       3.871237882690e-03       1.460502752884e+04 
       3.992036660788e-03       1.497788036812e+04 
       4.113286400085e-03       1.534549613539e+04 
       4.234953193603e-03       1.570779187192e+04 
       4.357006280707e-03       1.606470825202e+04 
       4.479417720608e-03       1.641620216993e+04 
       4.602162101426e-03       1.676224459644e+04 
       4.725216281153e-03       1.710286650567e+04 
       4.848559157090e-03       1.743840892235e+04 
       4.972171460656e-03       1.776853587480e+04 
       5.096035574718e-03       1.809279446444e+04 
       5.220135370916e-03       1.841137021051e+04 
       5.344456064688e-03       1.872509056591e+04 
       5.468984085990e-03       1.903312090607e+04 
       5.593706963892e-03       1.933584909430e+04 
       5.718613223473e-03       1.963185338460e+04 
       5.843692293605e-03       1.992543896709e+04 
       5.968934424386e-03       2.021083461300e+04 
       6.094330613118e-03       2.049218608238e+04 
       6.219872537888e-03       2.076846377868e+04 
       6.345552497875e-03       2.103964981327e+04 
       6.471363359654e-03       2.130615187110e+04 
       6.597298508830e-03       2.156539471807e+04 
       6.723351806413e-03       2.182181780414e+04 
       6.849517549429e-03       2.207194497440e+04 
       6.975790435312e-03       2.231762645048e+04 
       7.102165529665e-03       2.255903489190e+04 
       7.228638237047e-03       2.279478335712e+04 
       7.355204274468e-03       2.302750977446e+04 
       7.481859647301e-03       2.325396861820e+04 
       7.608600627389e-03       2.347539437368e+04 
       7.735423733096e-03       2.369240955944e+04 
       7.862325711133e-03       2.390505918625e+04 
       7.989303519968e-03       2.411385888391e+04 
       8.116354314671e-03       2.431854969265e+04 
       8.243475433056e-03       2.451729081774e+04 
       8.370664382991e-03       2.471294119644e+04 
       8.497918830777e-03       2.490356325657e+04 
       8.625236590478e-03       2.508999511511e+04 
       8.752615614134e-03       2.527149829464e+04 
       8.880053982758e-03       2.545083768522e+04 
       9.007549898064e-03       2.562393320871e+04 
       9.135101674842e-03       2.579398941949e+04 
       9.262707733939e-03       2.596102256531e+04 
       9.390366595784e-03       2.612167549749e+04 
       9.518076874411e-03       2.628041617213e+04 
       9.645837271942e-03       2.643498409014e+04 
       9.773646573481e-03       2.658563585626e+04 
       9.901503642401e-03       2.673243291883e+04 
       1.002940741597e-02       2.687517866350e+04 
       1.015735690133e-02       2.701386864471e+04 
       1.028535117169e-02       2.714968305934e+04 
       1.041338936293e-02       2.728209950640e+04 
       1.054147067033e-02       2.741003216944e+04 
       1.066959434557e-02       2.753443253225e+04 
       1.079775969399e-02       2.765702808532e+04 
       1.092596607196e-02       2.777465953281e+04 
       1.105421288453e-02       2.788827089714e+04 
       1.118249958317e-02       2.800034550182e+04 
       1.131082566373e-02       2.810816205957e+04 
       1.143919066444e-02       2.821306353660e+04 
       1.156759416422e-02       2.831380286023e+04 
       1.169603578093e-02       2.841086303216e+04 
       1.182451516985e-02       2.850895697146e+04 
       1.195303202223e-02       2.859923145881e+04 
       1.208158606397e-02       2.868856077380e+04 
       1.221017705434e-02       2.877258524221e+04 
       1.233880478484e-02       2.885691679670e+04 
       1.246746907811e-02       2.893662981876e+04 
       1.259616978695e-02       2.901232576994e+04 
       1.272490679336e-02       2.908697564720e+04 
       1.285368000771e-02       2.915758485456e+04 
       1.298248936791e-02       2.922579032430e+04 
       1.311133483870e-02       2.929290472020e+04 
       1.324021641095e-02       2.935422273896e+04 
       1.336913410105e-02       2.941481458741e+04 
       1.349808795029e-02       2.947171163449e+04 
       1.362707802436e-02       2.952579205280e+04 
       1.375610441285e-02       2.957767041011e+04 
       1.388516722881e-02       2.962725340445e+04 
       1.401426660833e-02       2.967422526060e+04 
       1.414340271018e-02       2.971808703984e+04 
       1.427257571545e-02       2.976012328501e+04 
       1.440178582729e-02       2.980015080864e+04 
       1.453103327063e-02       2.983632315274e+04 
       1.466031829190e-02       2.987011450644e+04 
       1.478964115890e-02       2.990435020214e+04 
       1.491900216053e-02       2.993312697167e+04 
       1.504840160672e-02       2.996051219271e+04 
       1.517783982825e-02       2.998554727060e+04 
       1.530731717668e-02       3.000950097919e+04 
       1.543683402424e-02       3.002917933244e+04 
       1.556639076382e-02       3.004991179253e+04 
       1.569598780889e-02       3.006397449235e+04 
       1.582562559352e-02       3.007800425289e+04 
       1.595530457238e-02       3.009035547743e+04 
       1.608502522079e-02       3.010211135080e+04 
       1.621478803473e-02       3.010871326798e+04 
       1.634459353096e-02       3.011582595714e+04 
       1.647444224709e-02       3.011987465052e+04 
       1.660433474165e-02       3.012023735912e+04 
       1.673427159429e-02       3.012093291868e+04 
       1.686425340586e-02       3.012045769176e+04 
       1.699428079861e-02       3.011492520602e+04 
       1.712435441636e-02       3.011212510826e+04 
       1.725447492469e-02       3.010375634391e+04 
       1.738464301114e-02       3.009448564141e+04 
       1.751485938548e-02       3.008426733239e+04 
       1.764512477993e-02       3.007290690720e+04 
       1.777543994943e-02       3.005467935127e+04 
       1.790580567190e-02       3.003914833751e+04 
       1.803622274859e-02       3.002415035618e+04 
       1.816669200434e-02       3.000551687611e+04 
       1.829721428792e-02       2.998651642987e+04 
       1.842779047240e-02       2.996015504670e+04 
       1.855842145552e-02       2.993894186958e+04 
       1.868910816002e-02       2.991132769810e+04 
       1.881985153409e-02       2.989034022300e+04 
       1.895065255176e-02       2.985492077092e+04 
       1.908151221333e-02       2.983064409825e+04 
