# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.056552341414e-10       7.354825029720e-15       5.679107416365e-13       0.000000000000e+00       1.334657699474e-08      -3.541570371750e-10      -2.714859331929e-12 
    3       1.108003073053e-10       1.241088576272e-14       6.934731533982e-13       0.000000000000e+00       7.981781556508e-09      -2.650934557473e-10      -2.343527695483e-12 
    4       1.102591580993e-10       1.446849627968e-14       6.947290786052e-13       0.000000000000e+00       5.422485127569e-09      -2.009805850259e-10      -1.855551562612e-12 
    5       1.085131594975e-10       1.337378842141e-14       6.325959069696e-13       0.000000000000e+00       3.969292172608e-09      -1.565587070361e-10      -1.376814884534e-12 
    6       1.069273265521e-10       1.031642284779e-14       5.431513559351e-13       0.000000000000e+00       3.048261889104e-09      -1.249712670546e-10      -9.461667963473e-13 
    7       1.058530567562e-10       6.834691506561e-15       4.482170123731e-13       0.000000000000e+00       2.422469297805e-09      -1.018813467860e-10      -5.846799247377e-13 
    8       1.053188188470e-10       4.034159355744e-15       3.598567940156e-13       0.000000000000e+00       1.975102706955e-09      -8.455428786015e-11      -3.013402243807e-13 
    9       1.052869564458e-10       2.325219586035e-15       2.845816312625e-13       0.000000000000e+00       1.642717963678e-09      -7.124364032675e-11      -9.669151264682e-14 
   10       1.056580820897e-10       1.557301979632e-15       2.255593028847e-13       0.000000000000e+00       1.388479117731e-09      -6.077423021152e-11       3.526899642503e-14 
   11       1.063564436530e-10       1.329740452806e-15       1.836308328222e-13       0.000000000000e+00       1.175308489939e-09      -5.108239743251e-11       1.044578057196e-13 
   12       1.073298047348e-10       1.272691640486e-15       1.577415470650e-13       0.000000000000e+00       1.018956663157e-09      -4.445206070224e-11       1.260458673852e-13 
   13       1.085094340520e-10       1.187852296673e-15       1.455361979481e-13       0.000000000000e+00       8.916209704817e-10      -3.879538175576e-11       1.139065412477e-13 
   14       1.098221563348e-10       1.046184235450e-15       1.439896863472e-13       0.000000000000e+00       7.864653454504e-10      -3.422882258718e-11       8.089155506736e-14 
   15       1.112855355009e-10       9.064889846278e-16       1.497693720055e-13       0.000000000000e+00       6.985788792390e-10      -3.025483808072e-11       3.932225943351e-14 
   16       1.128724649295e-10       8.292787036940e-16       1.596577753203e-13       0.000000000000e+00       6.243555951388e-10      -2.679672091114e-11      -1.647222295814e-15 
   17       1.145222768997e-10       8.314121113289e-16       1.710483128285e-13       0.000000000000e+00       5.610891763834e-10      -2.380991683059e-11      -3.563613931680e-14 
   18       1.162426527990e-10       8.876625032992e-16       1.821199121433e-13       0.000000000000e+00       5.067162963693e-10      -2.126830255554e-11      -5.910765844922e-14 
   19       1.180682304913e-10       9.585787459547e-16       1.917285909564e-13       0.000000000000e+00       4.596403013917e-10      -1.910932103236e-11      -7.103199687525e-14 
   20       1.199281987366e-10       1.018337702049e-15       1.994050339392e-13       0.000000000000e+00       4.186112225969e-10      -1.720305415785e-11      -7.223121996250e-14 
   21       1.218081822402e-10       1.066362597197e-15       2.053227204178e-13       0.000000000000e+00       3.826371763484e-10      -1.551707206688e-11      -6.501645125233e-14 
   22       1.237872087341e-10       1.121309277297e-15       2.099033265146e-13       0.000000000000e+00       3.509228836102e-10      -1.404625011333e-11      -5.242233061966e-14 
   23       1.257732044643e-10       1.206205511344e-15       2.137452557670e-13       0.000000000000e+00       3.228239243527e-10      -1.278249767018e-11      -3.765880712761e-14 
   24       1.278186270429e-10       1.335748064019e-15       2.174623271146e-13       0.000000000000e+00       2.978142743153e-10      -1.169067612920e-11      -2.361799031795e-14 
   25       1.298574156054e-10       1.512042687178e-15       2.216125384859e-13       0.000000000000e+00       2.754605157707e-10      -1.068481450834e-11      -1.228980285534e-14 
   26       1.319374037104e-10       1.728478643029e-15       2.265666024052e-13       0.000000000000e+00       2.554027514389e-10      -9.752984630610e-12      -4.875896366264e-15 
   27       1.340946050490e-10       1.976938830966e-15       2.322509568698e-13       0.000000000000e+00       2.373399651474e-10      -8.916158292524e-12      -1.694019618300e-15 
   28       1.361881218781e-10       2.252618769943e-15       2.386509580645e-13       0.000000000000e+00       2.210187965370e-10      -8.178707387617e-12      -2.305774706869e-15 
   29       1.383874334150e-10       2.554806442840e-15       2.453949251958e-13       0.000000000000e+00       2.062249198231e-10      -7.505211244673e-12      -5.727255528512e-15 
   30       1.405592767350e-10       2.884593338207e-15       2.519276067321e-13       0.000000000000e+00       1.927757692545e-10      -6.888397498795e-12      -1.090133841336e-14 
   31       1.427423049830e-10       3.241967971637e-15       2.579061436387e-13       0.000000000000e+00       1.805170569302e-10      -6.333894436356e-12      -1.668316122551e-14 
   32       1.450391889503e-10       3.624696649965e-15       2.626322458446e-13       0.000000000000e+00       1.693143998077e-10      -5.809217454528e-12      -2.161148499328e-14 
   33       1.472408847503e-10       4.029168475064e-15       2.658258302391e-13       0.000000000000e+00       1.590516330161e-10      -5.330354933669e-12      -2.482468865965e-14 
   34       1.495423573423e-10       4.453103073870e-15       2.672545625788e-13       0.000000000000e+00       1.496278395630e-10      -4.899323991965e-12      -2.594876232235e-14 
   35       1.518690643044e-10       4.897794316595e-15       2.665215604929e-13       0.000000000000e+00       1.409568271587e-10      -4.556143575797e-12      -2.553335425855e-14 
   36       1.541298798984e-10       5.367819168404e-15       2.639624435771e-13       0.000000000000e+00       1.329624102187e-10      -4.208393529883e-12      -2.327251031064e-14 
