# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 0.630176 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.349808795029e-02       2.745367297525e+04 
       1.362707802436e-02       2.750411696032e+04 
       1.375610441285e-02       2.755104613225e+04 
       1.388516722881e-02       2.759430113638e+04 
       1.401426660833e-02       2.763637953321e+04 
       1.414340271018e-02       2.767835175411e+04 
       1.427257571545e-02       2.771831577990e+04 
       1.440178582729e-02       2.775133688558e+04 
       1.453103327063e-02       2.778210272758e+04 
       1.466031829190e-02       2.781613329953e+04 
       1.478964115890e-02       2.784419107545e+04 
       1.491900216053e-02       2.787189407202e+04 
       1.504840160672e-02       2.789693419611e+04 
       1.517783982825e-02       2.791999879461e+04 
       1.530731717668e-02       2.793504226774e+04 
       1.543683402424e-02       2.795804022463e+04 
       1.556639076382e-02       2.796938563473e+04 
       1.569598780889e-02       2.798838411289e+04 
       1.582562559352e-02       2.800028282951e+04 
       1.595530457238e-02       2.800801490007e+04 
       1.608502522079e-02       2.801584704628e+04 
       1.621478803473e-02       2.802688937140e+04 
       1.634459353096e-02       2.803007541381e+04 
       1.647444224709e-02       2.803122004579e+04 
       1.660433474165e-02       2.803016705274e+04 
       1.673427159429e-02       2.803585956770e+04 
       1.686425340586e-02       2.803447536418e+04 
       1.699428079861e-02       2.802760196100e+04 
       1.712435441636e-02       2.802074732545e+04 
       1.725447492469e-02       2.801829872138e+04 
       1.738464301114e-02       2.800286212377e+04 
       1.751485938548e-02       2.799157628843e+04 
       1.764512477993e-02       2.798155574284e+04 
       1.777543994943e-02       2.796532974965e+04 
       1.790580567190e-02       2.794925425863e+04 
       1.803622274859e-02       2.793238986236e+04 
       1.816669200434e-02       2.791544077015e+04 
       1.829721428792e-02       2.789404837280e+04 
       1.842779047240e-02       2.787171991230e+04 
       1.855842145552e-02       2.784805197027e+04 
       1.868910816002e-02       2.782716323306e+04 
       1.881985153409e-02       2.779848539992e+04 
       1.895065255176e-02       2.777030842228e+04 
       1.908151221333e-02       2.774080329340e+04 
       1.921243154584e-02       2.771136754810e+04 
       1.934341160351e-02       2.767906854715e+04 
       1.947445346826e-02       2.764561135514e+04 
       1.960555825017e-02       2.761375027932e+04 
       1.973672708805e-02       2.757772061283e+04 
       1.986796114995e-02       2.754173420198e+04 
       1.999926163371e-02       2.750411933002e+04 
       2.013062976760e-02       2.746421603048e+04 
       2.026206681084e-02       2.742585429871e+04 
       2.039357405429e-02       2.738408073213e+04 
       2.052515282104e-02       2.734044388359e+04 
       2.065680446711e-02       2.729646252990e+04 
       2.078853038211e-02       2.725336740307e+04 
       2.092033198997e-02       2.720673868105e+04 
       2.105221074966e-02       2.716137284060e+04 
       2.118416815592e-02       2.711120729354e+04 
       2.131620574009e-02       2.706454478780e+04 
       2.144832507085e-02       2.701471772877e+04 
       2.158052775512e-02       2.696311467612e+04 
       2.171281543885e-02       2.691075514305e+04 
       2.184518980793e-02       2.685829001750e+04 
       2.197765258910e-02       2.680184019861e+04 
       2.211020555089e-02       2.675041303441e+04 
       2.224285050456e-02       2.669054575864e+04 
       2.237558930515e-02       2.663729159842e+04 
       2.250842385246e-02       2.658077627515e+04 
       2.264135609211e-02       2.652291943078e+04 
       2.277438801669e-02       2.646237083356e+04 
       2.290752166680e-02       2.640112392161e+04 
       2.304075913231e-02       2.634036388491e+04 
       2.317410255348e-02       2.627933766372e+04 
       2.330755412224e-02       2.621685834051e+04 
       2.344111608345e-02       2.615521284249e+04 
       2.357479073623e-02       2.609189704526e+04 
       2.370858043531e-02       2.602761315944e+04 
       2.384248759242e-02       2.596172535180e+04 
       2.397651467777e-02       2.589583751652e+04 
       2.411066422150e-02       2.582962438122e+04 
       2.424493881525e-02       2.576347884753e+04 
       2.437934111375e-02       2.569566159758e+04 
       2.451387383643e-02       2.562718059984e+04 
       2.464853976916e-02       2.555799509064e+04 
       2.478334176596e-02       2.548819135495e+04 
       2.491828275083e-02       2.541981190063e+04 
       2.505336571962e-02       2.534868913378e+04 
       2.518859374194e-02       2.527681464346e+04 
       2.532396996316e-02       2.520554565989e+04 
       2.545949760647e-02       2.513280005081e+04 
       2.559517997501e-02       2.506025460315e+04 
       2.573102045408e-02       2.498734454353e+04 
       2.586702251340e-02       2.491291571781e+04 
       2.600318970945e-02       2.484039402111e+04 
       2.613952568794e-02       2.476445541885e+04 
       2.627603418630e-02       2.468926778709e+04 
       2.641271903630e-02       2.461339888048e+04 
       2.654958416674e-02       2.453774085944e+04 
       2.668663360623e-02       2.446218190582e+04 
       2.682387148611e-02       2.438504864770e+04 
       2.696130204342e-02       2.430927798353e+04 
       2.709892962400e-02       2.423115763998e+04 
       2.723675868572e-02       2.415267088641e+04 
       2.737479380179e-02       2.407508043927e+04 
       2.751303966425e-02       2.399643707089e+04 
       2.765150108751e-02       2.391738803979e+04 
       2.779018301206e-02       2.383904392640e+04 
       2.792909050837e-02       2.375906627901e+04 
       2.806822878085e-02       2.368071029346e+04 
       2.820760317199e-02       2.359985809612e+04 
       2.834721916671e-02       2.351982333367e+04 
       2.848708239680e-02       2.343912087652e+04 
       2.862719864559e-02       2.335920987724e+04 
       2.876757385276e-02       2.327844847800e+04 
       2.890821411937e-02       2.319605718861e+04 
       2.904912571309e-02       2.311560824013e+04 
       2.919031507365e-02       2.303244509394e+04 
       2.933178881842e-02       2.295145320548e+04 
       2.947355374836e-02       2.286990102759e+04 
       2.961561685412e-02       2.278779695770e+04 
       2.975798532242e-02       2.270579013638e+04 
       2.990066654267e-02       2.262252220392e+04 
       3.004366811391e-02       2.254118974357e+04 
       3.018699785203e-02       2.245780163569e+04 
       3.033066379729e-02       2.237514327088e+04 
       3.047467422217e-02       2.229235873994e+04 
       3.061903763955e-02       2.220847499333e+04 
       3.076376281128e-02       2.212469652415e+04 
       3.090885875711e-02       2.204325376778e+04 
       3.105433476400e-02       2.195930032753e+04 
       3.120020039590e-02       2.187445830050e+04 
       3.134646550395e-02       2.179205627347e+04 
       3.149314023709e-02       2.170869768143e+04 
       3.164023505330e-02       2.162435274531e+04 
       3.178776073123e-02       2.153951016594e+04 
       3.193572838245e-02       2.145468121883e+04 
       3.208414946429e-02       2.137197088025e+04 
       3.223303579323e-02       2.128807402564e+04 
       3.238239955904e-02       2.120331430614e+04 
       3.253225333955e-02       2.111892465660e+04 
       3.268261011615e-02       2.103425132532e+04 
       3.283348329011e-02       2.095089255472e+04 
       3.298488669969e-02       2.086635486558e+04 
       3.313683463811e-02       2.078195866072e+04 
       3.328934187254e-02       2.069788202848e+04 
       3.344242366395e-02       2.061297127399e+04 
       3.359609578808e-02       2.052963749449e+04 
       3.375037455757e-02       2.044485623226e+04 
       3.390527684517e-02       2.036043045659e+04 
       3.406082010830e-02       2.027631149465e+04 
       3.421702241493e-02       2.019153558104e+04 
       3.437390247094e-02       2.010753745089e+04 
       3.453147964890e-02       2.002335433894e+04 
       3.468977401865e-02       1.993858945219e+04 
       3.484880637953e-02       1.985460464497e+04 
       3.500859829451e-02       1.977065200523e+04 
       3.516917212632e-02       1.968680677844e+04 
       3.533055107576e-02       1.960278563727e+04 
       3.549275922229e-02       1.951823589814e+04 
       3.565582156710e-02       1.943439254010e+04 
       3.581976407884e-02       1.935016555055e+04 
       3.598461374219e-02       1.926618607312e+04 
       3.615039860953e-02       1.918218970704e+04 
       3.631714785586e-02       1.909810267484e+04 
       3.648489183735e-02       1.901430508430e+04 
       3.665366215367e-02       1.893106589780e+04 
       3.682349171448e-02       1.884715790707e+04 
       3.699441481039e-02       1.876275249440e+04 
       3.716646718880e-02       1.867940621270e+04 
       3.733968613490e-02       1.859586547502e+04 
       3.751411055841e-02       1.851246649468e+04 
       3.768978108648e-02       1.842830959625e+04 
       3.786674016317e-02       1.834456898759e+04 
       3.804503215636e-02       1.826093428404e+04 
       3.822470347240e-02       1.817799756870e+04 
       3.840580267953e-02       1.809424758145e+04 
       3.858838064053e-02       1.801067598251e+04 
       3.877249065577e-02       1.792740009739e+04 
       3.895818861738e-02       1.784344988662e+04 
       3.914553317580e-02       1.776010342560e+04 
       3.933458591964e-02       1.767704535027e+04 
       3.952541157050e-02       1.759344223320e+04 
       3.971807819388e-02       1.751000064298e+04 
       3.991265742806e-02       1.742659267755e+04 
       4.010922473268e-02       1.734345196299e+04 
       4.030785965905e-02       1.726004057381e+04 
       4.050864614460e-02       1.717673018057e+04 
       4.071167283388e-02       1.709287037681e+04 
       4.091703342926e-02       1.700947677246e+04 
       4.112482707440e-02       1.692592190622e+04 
       4.133515877440e-02       1.684278105888e+04 
       4.154813985668e-02       1.675900757658e+04 
       4.176388847751e-02       1.667508954008e+04 
       4.198253017960e-02       1.659157887670e+04 
