# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.087177896099e-10       7.314302410990e-15       5.146089233755e-13       0.000000000000e+00       1.071822594424e-08       1.639713461476e-10      -2.597718375386e-12 
    3       1.097625056692e-10       1.236647067932e-14       6.406366796968e-13       0.000000000000e+00       6.479987264193e-09       1.099172667845e-10      -2.266939512037e-12 
    4       1.080503480970e-10       1.442936406977e-14       6.539250731450e-13       0.000000000000e+00       4.446715634696e-09       8.257811313448e-11      -1.802858341147e-12 
    5       1.061063736783e-10       1.334171174060e-14       6.049700702482e-13       0.000000000000e+00       3.283985921965e-09       6.564984472121e-11      -1.338388800591e-12 
    6       1.046364944429e-10       1.029350758625e-14       5.265510575013e-13       0.000000000000e+00       2.541820191562e-09       5.395779702225e-11      -9.172733117629e-13 
    7       1.037720380041e-10       6.821079845982e-15       4.397942359257e-13       0.000000000000e+00       2.034124105908e-09       4.533257679808e-11      -5.623683151929e-13 
    8       1.034608918234e-10       4.028599255973e-15       3.569744686730e-13       0.000000000000e+00       1.668904528391e-09       3.868876317925e-11      -2.836981679481e-13 
    9       1.036338248409e-10       2.325731001844e-15       2.850801935966e-13       0.000000000000e+00       1.395992540126e-09       3.341676011856e-11      -8.244973649025e-14 
   10       1.041869721319e-10       1.561647238705e-15       2.278000829176e-13       0.000000000000e+00       1.186099270557e-09       2.917451490074e-11       4.697369334876e-14 
   11       1.050524961071e-10       1.335796833782e-15       1.864612768809e-13       0.000000000000e+00       1.010716786942e-09       2.665956026608e-11       1.142808635051e-13 
   12       1.061764166755e-10       1.278716685540e-15       1.604206846034e-13       0.000000000000e+00       8.800475299360e-10       2.365490475502e-11       1.343567172818e-13 
   13       1.074838643873e-10       1.192626215195e-15       1.476538422947e-13       0.000000000000e+00       7.731631545775e-10       2.131276926955e-11       1.209988727052e-13 
   14       1.089070267080e-10       1.049036706589e-15       1.453821831388e-13       0.000000000000e+00       6.845313838956e-10       1.916511221840e-11       8.699038024478e-14 
   15       1.104702243934e-10       9.072542002018e-16       1.504395686234e-13       0.000000000000e+00       6.101647464536e-10       1.744706928788e-11       4.460089165592e-14 
   16       1.121474283471e-10       8.281929408791e-16       1.597218804408e-13       0.000000000000e+00       5.471263061708e-10       1.603807167051e-11       2.946030840135e-15 
   17       1.138749607884e-10       8.289620623702e-16       1.706859725994e-13       0.000000000000e+00       4.932044003224e-10       1.483249217339e-11      -3.162193242402e-14 
   18       1.156596373021e-10       8.844458761510e-16       1.815205703550e-13       0.000000000000e+00       4.467070566893e-10       1.373905290411e-11      -5.558747162393e-14 
   19       1.175416124625e-10       9.551959285784e-16       1.910630066218e-13       0.000000000000e+00       4.063210542442e-10       1.272581058232e-11      -6.793684341052e-14 
   20       1.194549995701e-10       1.015287482735e-15       1.988129273908e-13       0.000000000000e+00       3.710154372326e-10       1.184645859815e-11      -6.950403307707e-14 
   21       1.213840271380e-10       1.063971827184e-15       2.048972176640e-13       0.000000000000e+00       3.399694641554e-10       1.107354284073e-11      -6.260940626212e-14 
   22       1.234040588774e-10       1.119727350714e-15       2.096850043258e-13       0.000000000000e+00       3.125232984944e-10       1.036431102544e-11      -5.029479892398e-14 
