# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 0.630176 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.349808795029e-02       2.594769247655e+04 
       1.362707802436e-02       2.599360873124e+04 
       1.375610441285e-02       2.603614386241e+04 
       1.388516722881e-02       2.607758231197e+04 
       1.401426660833e-02       2.611710904591e+04 
       1.414340271018e-02       2.615475203382e+04 
       1.427257571545e-02       2.619035432127e+04 
       1.440178582729e-02       2.622331471479e+04 
       1.453103327063e-02       2.625380426382e+04 
       1.466031829190e-02       2.628270727668e+04 
       1.478964115890e-02       2.630851053539e+04 
       1.491900216053e-02       2.633385469287e+04 
       1.504840160672e-02       2.635654887465e+04 
       1.517783982825e-02       2.637710623995e+04 
       1.530731717668e-02       2.639550497756e+04 
       1.543683402424e-02       2.641254889506e+04 
       1.556639076382e-02       2.642754064040e+04 
       1.569598780889e-02       2.644025922489e+04 
       1.582562559352e-02       2.645154010426e+04 
       1.595530457238e-02       2.646081184637e+04 
       1.608502522079e-02       2.646875966779e+04 
       1.621478803473e-02       2.647458876763e+04 
       1.634459353096e-02       2.647753982787e+04 
       1.647444224709e-02       2.648061027620e+04 
       1.660433474165e-02       2.648129770337e+04 
       1.673427159429e-02       2.648013949709e+04 
       1.686425340586e-02       2.647669792999e+04 
       1.699428079861e-02       2.647329753342e+04 
       1.712435441636e-02       2.646613872525e+04 
       1.725447492469e-02       2.645862778947e+04 
       1.738464301114e-02       2.645073284851e+04 
       1.751485938548e-02       2.643910134088e+04 
       1.764512477993e-02       2.642783965288e+04 
       1.777543994943e-02       2.641306990877e+04 
       1.790580567190e-02       2.639834031687e+04 
       1.803622274859e-02       2.638213727776e+04 
       1.816669200434e-02       2.636371991657e+04 
       1.829721428792e-02       2.634386592106e+04 
       1.842779047240e-02       2.632349162922e+04 
       1.855842145552e-02       2.630176329943e+04 
       1.868910816002e-02       2.627835681855e+04 
       1.881985153409e-02       2.625330825947e+04 
       1.895065255176e-02       2.622700258357e+04 
       1.908151221333e-02       2.619968659539e+04 
       1.921243154584e-02       2.617069144180e+04 
       1.934341160351e-02       2.614069519204e+04 
       1.947445346826e-02       2.610977988226e+04 
       1.960555825017e-02       2.607668738714e+04 
       1.973672708805e-02       2.604395026696e+04 
