# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 0.630176 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.349808795276e-02       2.594769098099e+04 
       1.362707802683e-02       2.599360401222e+04 
       1.375610441532e-02       2.603613552823e+04 
       1.388516723129e-02       2.607757941089e+04 
       1.401426661081e-02       2.611710549575e+04 
       1.414340271265e-02       2.615474750386e+04 
       1.427257571792e-02       2.619035153128e+04 
       1.440178582977e-02       2.622331245754e+04 
       1.453103327311e-02       2.625380349187e+04 
       1.466031829438e-02       2.628270526804e+04 
       1.478964116138e-02       2.630850731312e+04 
       1.491900216301e-02       2.633385224929e+04 
       1.504840160920e-02       2.635654669695e+04 
       1.517783983073e-02       2.637710269139e+04 
       1.530731717916e-02       2.639550189139e+04 
       1.543683402673e-02       2.641254573884e+04 
       1.556639076630e-02       2.642753754162e+04 
       1.569598781137e-02       2.644025622917e+04 
       1.582562559600e-02       2.645153710300e+04 
       1.595530457487e-02       2.646080881252e+04 
       1.608502522327e-02       2.646875656810e+04 
       1.621478803722e-02       2.647458577643e+04 
       1.634459353345e-02       2.647753719734e+04 
       1.647444224958e-02       2.648060696484e+04 
       1.660433474414e-02       2.648129629124e+04 
       1.673427159678e-02       2.648013689641e+04 
       1.686425340835e-02       2.647669449613e+04 
       1.699428080111e-02       2.647329442275e+04 
       1.712435441886e-02       2.646613546109e+04 
       1.725447492718e-02       2.645862493408e+04 
       1.738464301363e-02       2.645073025988e+04 
       1.751485938798e-02       2.643909742672e+04 
       1.764512478243e-02       2.642783667558e+04 
       1.777543995193e-02       2.641306696319e+04 
       1.790580567440e-02       2.639833740842e+04 
       1.803622275109e-02       2.638213443893e+04 
       1.816669200684e-02       2.636371696956e+04 
       1.829721429042e-02       2.634386309870e+04 
       1.842779047491e-02       2.632348895866e+04 
       1.855842145803e-02       2.630175946620e+04 
       1.868910816253e-02       2.627835362217e+04 
       1.881985153660e-02       2.625330468325e+04 
       1.895065255427e-02       2.622699975693e+04 
       1.908151221584e-02       2.619968270154e+04 
       1.921243154835e-02       2.617068820191e+04 
       1.934341160602e-02       2.614069185881e+04 
       1.947445347077e-02       2.610977748949e+04 
       1.960555825268e-02       2.607668473288e+04 
       1.973672709056e-02       2.604394762169e+04 
       1.986796115246e-02       2.600865858355e+04 
       1.999926163623e-02       2.597261521627e+04 
       2.013062977012e-02       2.593565482404e+04 
       2.026206681336e-02       2.589755471686e+04 
       2.039357405681e-02       2.585807641822e+04 
       2.052515282356e-02       2.581850711994e+04 
       2.065680446963e-02       2.577695060278e+04 
       2.078853038464e-02       2.573424801179e+04 
       2.092033199250e-02       2.569062395615e+04 
       2.105221075219e-02       2.564627221791e+04 
       2.118416815845e-02       2.560160155275e+04 
       2.131620574262e-02       2.555512760043e+04 
       2.144832507339e-02       2.550725725592e+04 
       2.158052775766e-02       2.545942799555e+04 
       2.171281544139e-02       2.540995630172e+04 
       2.184518981047e-02       2.535986176395e+04 
       2.197765259164e-02       2.530954353387e+04 
       2.211020555343e-02       2.525725193443e+04 
       2.224285050711e-02       2.520466653240e+04 
       2.237558930770e-02       2.515124120932e+04 
       2.250842385501e-02       2.509695846305e+04 
       2.264135609466e-02       2.504193121639e+04 
       2.277438801924e-02       2.498606666779e+04 
       2.290752166936e-02       2.492957149435e+04 
       2.304075913487e-02       2.487273920047e+04 
       2.317410255604e-02       2.481414247447e+04 
       2.330755412480e-02       2.475545175235e+04 
       2.344111608601e-02       2.469598891150e+04 
       2.357479073879e-02       2.463626446588e+04 
       2.370858043787e-02       2.457500368721e+04 
