# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 0.630176 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004333795e-05       4.476018967515e+01 
       2.333095805641e-05       9.693185239976e+01 
       3.625717113354e-05       1.481567638232e+02 
       4.926346145416e-05       1.990247819653e+02 
       6.238518314747e-05       2.498751520535e+02 
       7.565858082820e-05       3.009648968024e+02 
       8.912111491755e-05       3.525158926765e+02 
       1.028118013711e-04       4.047355535658e+02 
       1.167715701734e-04       4.578259619440e+02 
       1.310436469927e-04       5.119911970814e+02 
       1.456739623954e-04       5.674412259885e+02 
       1.607115929610e-04       6.243958957585e+02 
       1.762092384570e-04       6.830901685352e+02 
       1.922237388671e-04       7.437741854207e+02 
       2.088166344034e-04       8.067196105184e+02 
       2.260547705566e-04       8.722214951004e+02 
       2.440109485712e-04       9.406027426373e+02 
       2.627646192567e-04       1.012217872275e+03 
       2.824026144891e-04       1.087456600779e+03 
       3.030199057923e-04       1.166748264658e+03 
       3.247203726287e-04       1.250567659392e+03 
       3.476175540833e-04       1.339435688427e+03 
       3.718353460970e-04       1.433925207635e+03 
       3.975085920654e-04       1.534663064193e+03 
       4.247834974604e-04       1.642331034509e+03 
       4.538177797217e-04       1.757663931937e+03 
       4.847804443246e-04       1.881445281616e+03 
       5.178510592485e-04       2.014497835730e+03 
       5.532183871386e-04       2.157668909265e+03 
       5.910782331532e-04       2.311809061097e+03 
       6.316303842205e-04       2.477744447861e+03 
       6.750745601225e-04       2.656241325306e+03 
       7.216053749246e-04       2.847967873437e+03 
       7.714064205261e-04       3.053452569586e+03 
       8.246437258060e-04       3.273050814603e+03 
       8.814589967750e-04       3.506915147837e+03 
       9.419631754247e-04       3.754985738419e+03 
       1.006230930745e-03       4.016993318700e+03 
       1.074296681075e-03       4.292478009355e+03 
       1.146152625442e-03       4.580815161898e+03 
       1.221749042864e-03       4.881241871012e+03 
       1.300996842025e-03       5.192879391741e+03 
       1.383772067800e-03       5.514751401106e+03 
       1.469921855004e-03       5.845802461077e+03 
       1.559271204023e-03       6.184922291495e+03 
       1.651629948312e-03       6.530976555770e+03 
       1.746799372057e-03       6.882840468451e+03 
       1.844578081754e-03       7.239424607813e+03 
       1.944766898304e-03       7.599694981076e+03 
       2.047172684863e-03       7.962681839644e+03 
       2.151611141021e-03       8.327485981926e+03 
       2.257908670024e-03       8.693282638309e+03 
       2.365903465723e-03       9.059324486930e+03 
       2.475445977673e-03       9.424938515221e+03 
       2.586398905573e-03       9.789526647722e+03 
       2.698636856110e-03       1.015255647132e+04 
       2.812045772658e-03       1.051355911025e+04 
       2.926522225142e-03       1.087212118133e+04 
       3.041972626323e-03       1.122788193586e+04 
       3.158312422777e-03       1.158052885801e+04 
       3.275465294285e-03       1.192979193874e+04 
       3.393362384006e-03       1.227543638300e+04 
       3.511941573302e-03       1.261726213838e+04 
       3.631146808815e-03       1.295509704107e+04 
       3.750927485056e-03       1.328879597104e+04 
       3.871237882690e-03       1.361823571700e+04 
       3.992036660788e-03       1.394331691317e+04 
       4.113286400085e-03       1.426394956843e+04 
       4.234953193603e-03       1.458006685920e+04 
       4.357006280707e-03       1.489161169218e+04 
       4.479417720608e-03       1.519854407022e+04 
       4.602162101426e-03       1.550082742067e+04 
       4.725216281153e-03       1.579844099625e+04 
       4.848559157090e-03       1.609137082876e+04 
       4.972171460656e-03       1.637961620206e+04 
       5.096035574718e-03       1.666316824312e+04 
       5.220135370916e-03       1.694202317845e+04 
       5.344456064688e-03       1.721624141060e+04 
       5.468984085990e-03       1.748580943016e+04 
       5.593706963892e-03       1.775076685129e+04 
       5.718613223473e-03       1.801115075779e+04 
       5.843692293605e-03       1.826685015641e+04 
       5.968934424386e-03       1.851803892357e+04 
       6.094330613118e-03       1.876463202054e+04 
       6.219872537888e-03       1.900673786895e+04 
       6.345552497875e-03       1.924439301688e+04 
       6.471363359654e-03       1.947761814552e+04 
       6.597298508830e-03       1.970647920981e+04 
       6.723351806413e-03       1.993130749580e+04 
       6.849517549429e-03       2.015122565485e+04 
       6.975790435312e-03       2.036700766467e+04 
       7.102165529665e-03       2.057869402774e+04 
       7.228638237047e-03       2.078657672378e+04 
       7.355204274468e-03       2.098961674486e+04 
       7.481859647301e-03       2.118908675285e+04 
       7.608600627389e-03       2.138418590949e+04 
       7.735423733096e-03       2.157526746750e+04 
       7.862325711133e-03       2.176245349381e+04 
       7.989303519968e-03       2.194564761306e+04 
       8.116354314671e-03       2.212470331312e+04 
       8.243475433056e-03       2.230027121089e+04 
       8.370664382991e-03       2.247183229827e+04 
       8.497918830777e-03       2.263967493630e+04 
       8.625236590478e-03       2.280392537185e+04 
       8.752615614134e-03       2.296430504677e+04 
       8.880053982758e-03       2.312107544858e+04 
       9.007549898064e-03       2.327418482566e+04 
       9.135101674842e-03       2.342382510214e+04 
       9.262707733939e-03       2.356978470075e+04 
       9.390366595784e-03       2.371247137646e+04 
       9.518076874411e-03       2.385159383830e+04 
       9.645837271942e-03       2.398734290888e+04 
       9.773646573481e-03       2.411960728885e+04 
       9.901503642401e-03       2.424863420633e+04 
       1.002940741597e-02       2.437439236161e+04 
       1.015735690133e-02       2.449691725953e+04 
       1.028535117169e-02       2.461600472455e+04 
       1.041338936293e-02       2.473200607096e+04 
       1.054147067033e-02       2.484496385635e+04 
       1.066959434557e-02       2.495473049609e+04 
       1.079775969399e-02       2.506148373066e+04 
       1.092596607196e-02       2.516516113016e+04 
       1.105421288453e-02       2.526585486296e+04 
       1.118249958317e-02       2.536405227783e+04 
       1.131082566373e-02       2.545828617957e+04 
       1.143919066444e-02       2.555011827313e+04 
       1.156759416422e-02       2.563988195755e+04 
       1.169603578093e-02       2.572526922977e+04 
       1.182451516985e-02       2.580860067245e+04 
       1.195303202223e-02       2.588930010179e+04 
       1.208158606397e-02       2.597089944293e+04 
       1.221017705434e-02       2.604261670722e+04 
       1.233880478484e-02       2.611484268756e+04 
       1.246746907811e-02       2.618468381965e+04 
       1.259616978695e-02       2.625363766882e+04 
       1.272490679336e-02       2.631657553311e+04 
       1.285368000771e-02       2.637973975515e+04 
       1.298248936791e-02       2.644169754544e+04 
       1.311133483870e-02       2.649599697885e+04 
       1.324021641095e-02       2.655138273352e+04 
       1.336913410105e-02       2.660510884569e+04 
       1.349808795029e-02       2.665348419376e+04 
       1.362707802436e-02       2.669996197009e+04 
       1.375610441285e-02       2.674751158005e+04 
       1.388516722881e-02       2.678900552750e+04 
       1.401426660833e-02       2.682939724632e+04 
       1.414340271018e-02       2.686903006804e+04 
       1.427257571545e-02       2.690318180063e+04 
       1.440178582729e-02       2.693772161383e+04 
       1.453103327063e-02       2.696940509341e+04 
       1.466031829190e-02       2.700044966793e+04 
       1.478964115890e-02       2.702634895167e+04 
       1.491900216053e-02       2.705516819754e+04 
       1.504840160672e-02       2.707761868532e+04 
       1.517783982825e-02       2.709865379200e+04 
       1.530731717668e-02       2.711805673004e+04 
       1.543683402424e-02       2.713467555330e+04 
       1.556639076382e-02       2.715058010954e+04 
       1.569598780889e-02       2.716482729868e+04 
       1.582562559352e-02       2.717583079771e+04 
       1.595530457238e-02       2.718582507340e+04 
       1.608502522079e-02       2.719387582142e+04 
       1.621478803473e-02       2.719971304610e+04 
       1.634459353096e-02       2.720387590415e+04 
       1.647444224709e-02       2.720591204749e+04 
       1.660433474165e-02       2.720819566123e+04 
       1.673427159429e-02       2.720718473528e+04 
       1.686425340586e-02       2.720406610555e+04 
       1.699428079861e-02       2.719993224449e+04 
       1.712435441636e-02       2.719229683263e+04 
       1.725447492469e-02       2.718536026612e+04 
       1.738464301114e-02       2.717555376582e+04 
       1.751485938548e-02       2.716529919996e+04 
       1.764512477993e-02       2.715333433999e+04 
       1.777543994943e-02       2.713951976108e+04 
       1.790580567190e-02       2.712443564010e+04 
       1.803622274859e-02       2.710721199189e+04 
       1.816669200434e-02       2.708972425983e+04 
       1.829721428792e-02       2.706944162576e+04 
       1.842779047240e-02       2.704868364353e+04 
       1.855842145552e-02       2.702610333307e+04 
       1.868910816002e-02       2.700168337177e+04 
       1.881985153409e-02       2.697564494199e+04 
       1.895065255176e-02       2.694919366435e+04 
       1.908151221333e-02       2.692061191410e+04 
       1.921243154584e-02       2.689097261098e+04 
       1.934341160351e-02       2.686024074116e+04 
       1.947445346826e-02       2.682973662361e+04 
       1.960555825017e-02       2.679599331250e+04 
       1.973672708805e-02       2.676105518508e+04 
       1.986796114995e-02       2.672681829136e+04 
       1.999926163371e-02       2.668931461051e+04 
       2.013062976760e-02       2.665124211463e+04 
       2.026206681084e-02       2.661136630831e+04 
       2.039357405429e-02       2.657122379961e+04 
       2.052515282104e-02       2.652968004578e+04 
       2.065680446711e-02       2.648725546253e+04 
       2.078853038211e-02       2.644374174852e+04 
       2.092033198997e-02       2.639951552482e+04 
       2.105221074966e-02       2.635383566043e+04 
       2.118416815592e-02       2.630776230699e+04 
       2.131620574009e-02       2.625945241433e+04 
       2.144832507085e-02       2.621169304283e+04 
       2.158052775512e-02       2.616087719043e+04 
       2.171281543885e-02       2.611188001358e+04 
       2.184518980793e-02       2.605950561974e+04 
       2.197765258910e-02       2.600725556437e+04 
       2.211020555089e-02       2.595486440176e+04 
       2.224285050456e-02       2.590024777728e+04 
       2.237558930515e-02       2.584550598034e+04 
       2.250842385246e-02       2.578934278607e+04 
       2.264135609211e-02       2.573379007526e+04 
       2.277438801669e-02       2.567619980618e+04 
       2.290752166680e-02       2.561827585711e+04 
       2.304075913231e-02       2.555879629287e+04 
       2.317410255348e-02       2.549879556505e+04 
       2.330755412224e-02       2.543923486354e+04 
       2.344111608345e-02       2.537877129823e+04 
       2.357479073623e-02       2.531593264588e+04 
       2.370858043531e-02       2.525356960886e+04 
       2.384248759242e-02       2.519070386570e+04 
       2.397651467777e-02       2.512758327506e+04 
       2.411066422150e-02       2.506293698416e+04 
       2.424493881525e-02       2.499723952640e+04 
       2.437934111375e-02       2.493132117372e+04 
       2.451387383643e-02       2.486501400419e+04 
       2.464853976916e-02       2.479829358738e+04 
       2.478334176596e-02       2.473115662435e+04 
       2.491828275083e-02       2.466302206496e+04 
       2.505336571962e-02       2.459441835127e+04 
       2.518859374194e-02       2.452526016280e+04 
       2.532396996316e-02       2.445640519902e+04 
       2.545949760647e-02       2.438563526218e+04 
       2.559517997501e-02       2.431492628251e+04 
       2.573102045408e-02       2.424349310175e+04 
       2.586702251340e-02       2.417251102115e+04 
       2.600318970945e-02       2.410082813826e+04 
       2.613952568794e-02       2.402870397695e+04 
       2.627603418630e-02       2.395469117402e+04 
       2.641271903630e-02       2.388185327322e+04 
       2.654958416674e-02       2.380834309053e+04 
       2.668663360623e-02       2.373430512488e+04 
       2.682387148611e-02       2.366028429143e+04 
       2.696130204342e-02       2.358472302614e+04 
       2.709892962400e-02       2.351023822926e+04 
       2.723675868572e-02       2.343438176248e+04 
       2.737479380179e-02       2.335887424814e+04 
       2.751303966425e-02       2.328203391224e+04 
       2.765150108751e-02       2.320580442009e+04 
       2.779018301206e-02       2.312912873420e+04 
       2.792909050837e-02       2.305186234407e+04 
       2.806822878085e-02       2.297463568598e+04 
       2.820760317199e-02       2.289754982761e+04 
       2.834721916671e-02       2.281917307669e+04 
       2.848708239680e-02       2.274134266642e+04 
       2.862719864559e-02       2.266326646487e+04 
       2.876757385276e-02       2.258436167981e+04 
       2.890821411937e-02       2.250573255178e+04 
       2.904912571309e-02       2.242660429668e+04 
       2.919031507365e-02       2.234732315457e+04 
       2.933178881842e-02       2.226837500729e+04 
       2.947355374836e-02       2.218815812384e+04 
       2.961561685412e-02       2.210920585349e+04 
       2.975798532242e-02       2.202894856208e+04 
       2.990066654267e-02       2.194912365069e+04 
       3.004366811391e-02       2.186860373919e+04 
       3.018699785203e-02       2.178810764293e+04 
       3.033066379729e-02       2.170795569557e+04 
       3.047467422217e-02       2.162729489672e+04 
       3.061903763955e-02       2.154644760686e+04 
       3.076376281128e-02       2.146577286009e+04 
       3.090885875711e-02       2.138509198941e+04 
       3.105433476400e-02       2.130363429135e+04 
       3.120020039590e-02       2.122278891072e+04 
       3.134646550395e-02       2.114155911886e+04 
       3.149314023709e-02       2.106020394804e+04 
       3.164023505330e-02       2.097858484747e+04 
       3.178776073123e-02       2.089703649594e+04 
       3.193572838245e-02       2.081559837728e+04 
       3.208414946429e-02       2.073440554554e+04 
       3.223303579323e-02       2.065262148169e+04 
       3.238239955904e-02       2.057117736103e+04 
       3.253225333955e-02       2.048918416400e+04 
       3.268261011615e-02       2.040778785463e+04 
       3.283348329011e-02       2.032636281474e+04 
       3.298488669969e-02       2.024427781724e+04 
       3.313683463811e-02       2.016236075985e+04 
       3.328934187254e-02       2.008073622048e+04 
       3.344242366395e-02       1.999897142447e+04 
       3.359609578808e-02       1.991737312995e+04 
       3.375037455757e-02       1.983553697538e+04 
       3.390527684517e-02       1.975373603189e+04 
       3.406082010830e-02       1.967208332157e+04 
       3.421702241493e-02       1.959008682169e+04 
       3.437390247094e-02       1.950812877511e+04 
       3.453147964890e-02       1.942668860373e+04 
       3.468977401865e-02       1.934507380214e+04 
       3.484880637953e-02       1.926304223984e+04 
       3.500859829451e-02       1.918149670804e+04 
       3.516917212632e-02       1.909983101599e+04 
       3.533055107576e-02       1.901823502522e+04 
       3.549275922229e-02       1.893659796310e+04 
       3.565582156710e-02       1.885519353879e+04 
       3.581976407884e-02       1.877355632051e+04 
       3.598461374219e-02       1.869187589561e+04 
       3.615039860953e-02       1.861053022719e+04 
       3.631714785586e-02       1.852915554264e+04 
       3.648489183735e-02       1.844774181763e+04 
       3.665366215367e-02       1.836648229484e+04 
       3.682349171448e-02       1.828525851377e+04 
       3.699441481039e-02       1.820374065676e+04 
       3.716646718880e-02       1.812254448163e+04 
       3.733968613490e-02       1.804129468801e+04 
       3.751411055841e-02       1.796005807529e+04 
       3.768978108648e-02       1.787913616521e+04 
       3.786674016317e-02       1.779777992013e+04 
       3.804503215636e-02       1.771687290571e+04 
       3.822470347240e-02       1.763617508271e+04 
       3.840580267953e-02       1.755484678422e+04 
       3.858838064053e-02       1.747395819578e+04 
       3.877249065577e-02       1.739322239612e+04 
       3.895818861738e-02       1.731196908176e+04 
       3.914553317580e-02       1.723111670310e+04 
       3.933458591964e-02       1.715027019637e+04 
       3.952541157050e-02       1.706941341714e+04 
       3.971807819388e-02       1.698840084336e+04 
       3.991265742806e-02       1.690741484003e+04 
       4.010922473268e-02       1.682666073563e+04 
       4.030785965905e-02       1.674562332076e+04 
