# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 0.630176 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004333795e-05       3.025480110053e+01 
       2.333095805641e-05       6.555299426302e+01 
       3.625717113354e-05       1.002862257372e+02 
       4.926346145416e-05       1.348935266213e+02 
       6.238518314747e-05       1.696490371953e+02 
       7.565858082820e-05       2.047686209519e+02 
       8.912111491755e-05       2.404527149402e+02 
       1.028118013711e-04       2.768956894383e+02 
       1.167715701734e-04       3.142928390254e+02 
       1.310436469927e-04       3.528486321599e+02 
       1.456739623954e-04       3.927809791720e+02 
       1.607115929610e-04       4.343241242482e+02 
       1.762092384570e-04       4.777341655278e+02 
       1.922237388671e-04       5.232936868189e+02 
       2.088166344034e-04       5.713114673174e+02 
       2.260547705566e-04       6.221360694897e+02 
       2.440109485712e-04       6.761521379529e+02 
       2.627646192567e-04       7.337904262195e+02 
       2.824026144891e-04       7.955340498883e+02 
       3.030199057923e-04       8.619173673236e+02 
       3.247203726287e-04       9.335404947593e+02 
       3.476175540833e-04       1.011066335255e+03 
       3.718353460970e-04       1.095222381997e+03 
       3.975085920654e-04       1.186807458802e+03 
       4.247834974604e-04       1.286683452231e+03 
       4.538177797217e-04       1.395765964592e+03 
       4.847804443246e-04       1.515023583889e+03 
       5.178510592485e-04       1.645444772250e+03 
       5.532183871386e-04       1.788021399390e+03 
       5.910782331532e-04       1.943723530397e+03 
       6.316303842205e-04       2.113459095091e+03 
       6.750745601225e-04       2.298044479260e+03 
       7.216053749246e-04       2.498172069102e+03 
       7.714064205261e-04       2.714387145066e+03 
       8.246437258060e-04       2.947052151437e+03 
       8.814589967750e-04       3.196336439118e+03 
       9.419631754247e-04       3.462200749142e+03 
       1.006230930745e-03       3.744378794510e+03 
       1.074296681075e-03       4.042378698373e+03 
       1.146152625442e-03       4.355487505547e+03 
       1.221749042864e-03       4.682796348992e+03 
       1.300996842025e-03       5.023225774975e+03 
       1.383772067800e-03       5.375568002543e+03 
       1.469921855004e-03       5.738525955810e+03 
       1.559271204023e-03       6.110753280157e+03 
       1.651629948312e-03       6.490895012370e+03 
       1.746799372057e-03       6.877617455420e+03 
       1.844578081754e-03       7.269638447717e+03 
       1.944766898304e-03       7.665743456856e+03 
       2.047172684863e-03       8.064799246332e+03 
       2.151611141021e-03       8.465763114506e+03 
       2.257908670024e-03       8.867687725799e+03 
       2.365903465723e-03       9.269719607017e+03 
       2.475445977673e-03       9.671098025999e+03 
       2.586398905573e-03       1.007114813866e+04 
       2.698636856110e-03       1.046927379073e+04 
       2.812045772658e-03       1.086495723939e+04 
       2.926522225142e-03       1.125773909837e+04 
       3.041972626323e-03       1.164723138854e+04 
       3.158312422777e-03       1.203309275771e+04 
       3.275465294285e-03       1.241503128886e+04 
       3.393362384006e-03       1.279280303113e+04 
       3.511941573302e-03       1.316619178909e+04 
       3.631146808815e-03       1.353502493017e+04 
       3.750927485056e-03       1.389915012715e+04 
       3.871237882690e-03       1.425844647160e+04 
       3.992036660788e-03       1.461280915415e+04 
       4.113286400085e-03       1.496216071244e+04 
       4.234953193603e-03       1.530642897604e+04 
       4.357006280707e-03       1.564557006561e+04 
       4.479417720608e-03       1.597954405356e+04 
       4.602162101426e-03       1.630832475692e+04 
       4.725216281153e-03       1.663192198468e+04 
       4.848559157090e-03       1.695043340037e+04 
       4.972171460656e-03       1.726381539520e+04 
       5.096035574718e-03       1.757184126195e+04 
       5.220135370916e-03       1.787469269099e+04 
       5.344456064688e-03       1.817236049783e+04 
       5.468984085990e-03       1.846499939016e+04 
       5.593706963892e-03       1.875234715688e+04 
       5.718613223473e-03       1.903518588864e+04 
       5.843692293605e-03       1.931176398946e+04 
       5.968934424386e-03       1.958407011202e+04 
       6.094330613118e-03       1.985130763277e+04 
       6.219872537888e-03       2.011349882615e+04 
       6.345552497875e-03       2.037105869359e+04 
       6.471363359654e-03       2.062374967120e+04 
       6.597298508830e-03       2.087141990355e+04 
       6.723351806413e-03       2.111414181136e+04 
       6.849517549429e-03       2.135282345959e+04 
       6.975790435312e-03       2.158604543516e+04 
       7.102165529665e-03       2.181512255480e+04 
       7.228638237047e-03       2.204048154330e+04 
       7.355204274468e-03       2.225991852816e+04 
       7.481859647301e-03       2.247543746898e+04 
       7.608600627389e-03       2.268628561988e+04 
       7.735423733096e-03       2.289285603001e+04 
       7.862325711133e-03       2.309521577806e+04 
       7.989303519968e-03       2.329355134049e+04 
       8.116354314671e-03       2.348772145284e+04 
       8.243475433056e-03       2.367627621588e+04 
       8.370664382991e-03       2.386130682564e+04 
       8.497918830777e-03       2.404288557821e+04 
       8.625236590478e-03       2.422014910457e+04 
       8.752615614134e-03       2.439342557546e+04 
       8.880053982758e-03       2.456293747076e+04 
       9.007549898064e-03       2.472801807596e+04 
       9.135101674842e-03       2.489003798161e+04 
       9.262707733939e-03       2.504734064683e+04 
       9.390366595784e-03       2.520201964890e+04 
       9.518076874411e-03       2.535238212604e+04 
       9.645837271942e-03       2.549857020601e+04 
       9.773646573481e-03       2.564145774833e+04 
       9.901503642401e-03       2.578154724956e+04 
       1.002940741597e-02       2.591689655963e+04 
       1.015735690133e-02       2.604874203335e+04 
       1.028535117169e-02       2.617757172558e+04 
       1.041338936293e-02       2.630322873611e+04 
       1.054147067033e-02       2.642589574114e+04 
       1.066959434557e-02       2.654309765125e+04 
       1.079775969399e-02       2.665934960866e+04 
