# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.692406821071e-10       8.932392367388e-15       2.179135063826e-13       0.000000000000e+00       8.180541323765e-11       8.886445714114e-12      -5.695269814048e-15 
   43       1.717387887495e-10       9.657310771379e-15       2.061037620687e-13       0.000000000000e+00       7.789682835967e-11       8.504550876129e-12      -5.880091824313e-15 
   44       1.741443181590e-10       1.041865843212e-14       1.930531179868e-13       0.000000000000e+00       7.423665165074e-11       8.141338445951e-12      -6.858827023964e-15 
   45       1.766283571644e-10       1.121774370580e-14       1.787104514719e-13       0.000000000000e+00       7.080582796608e-11       7.783716353843e-12      -8.632243147751e-15 
   46       1.791385114522e-10       1.205466489162e-14       1.627168978155e-13       0.000000000000e+00       6.758482767042e-11       7.467622318009e-12      -1.026992109385e-14 
   47       1.816709496218e-10       1.292894454354e-14       1.449627378339e-13       0.000000000000e+00       6.455954618066e-11       7.183884206527e-12      -1.146171826679e-14 
   48       1.842498261813e-10       1.384005246180e-14       1.254100306212e-13       0.000000000000e+00       6.171290449435e-11       6.908944383345e-12      -1.214229039535e-14 
   49       1.868426058948e-10       1.478794106067e-14       1.039258245259e-13       0.000000000000e+00       5.903304845177e-11       6.637577519668e-12      -1.228165852155e-14 
   50       1.894147712516e-10       1.577291063008e-14       8.037701136880e-14       0.000000000000e+00       5.650632040891e-11       6.371176532928e-12      -1.187060636639e-14 
   51       1.920124210291e-10       1.679634417386e-14       5.477912479124e-14       0.000000000000e+00       5.412287655636e-11       6.119137846991e-12      -1.093661900529e-14 
   52       1.946853409961e-10       1.785960610506e-14       2.722162619086e-14       0.000000000000e+00       5.187137935361e-11       5.890173941643e-12      -9.562885636738e-15 
   53       1.973849840402e-10       1.896230976512e-14      -2.101924153471e-15       0.000000000000e+00       4.974361378548e-11       5.677731221713e-12      -8.001446066917e-15 
   54       2.000548358160e-10       2.010364662147e-14      -3.300643454062e-14       0.000000000000e+00       4.773019107593e-11       5.472327825434e-12      -6.549040589824e-15 
   55       2.027478284887e-10       2.128350229379e-14      -6.554780372603e-14       0.000000000000e+00       4.582417385463e-11       5.274319196588e-12      -5.394081783149e-15 
   56       2.055251307770e-10       2.250174241035e-14      -9.979958937092e-14       0.000000000000e+00       4.401767228055e-11       5.086742651030e-12      -4.677904286615e-15 
   57       2.083327340238e-10       2.375743353146e-14      -1.355957152594e-13       0.000000000000e+00       4.230480532235e-11       4.912379176429e-12      -4.423897955551e-15 
   58       2.111059535867e-10       2.504962506251e-14      -1.727567105033e-13       0.000000000000e+00       4.067892524942e-11       4.752171581706e-12      -4.616855540837e-15 
   59       2.138965826542e-10       2.637863611016e-14      -2.113938963011e-13       0.000000000000e+00       3.913499929070e-11       4.599326398164e-12      -5.227317768139e-15 
   60       2.167681261333e-10       2.774512276350e-14      -2.516829959870e-13       0.000000000000e+00       3.766737166094e-11       4.446516668509e-12      -6.180244794032e-15 
   61       2.196777075003e-10       2.914955786653e-14      -2.936820664835e-13       0.000000000000e+00       3.627174430925e-11       4.296121958234e-12      -7.241809909217e-15 
   62       2.225699624255e-10       3.059209352868e-14      -3.374203250293e-13       0.000000000000e+00       3.494331645462e-11       4.152773375579e-12      -8.155009528094e-15 
   63       2.254808460225e-10       3.207164883112e-14      -3.829335738223e-13       0.000000000000e+00       3.367839176946e-11       4.018445836305e-12      -8.827030986784e-15 
   64       2.284570125862e-10       3.358687239014e-14      -4.302526639865e-13       0.000000000000e+00       3.247286476587e-11       3.893579950793e-12      -9.218305251817e-15 
   65       2.314715792669e-10       3.513707550019e-14      -4.793726024272e-13       0.000000000000e+00       3.132358391973e-11       3.775135167263e-12      -9.337117330570e-15 
   66       2.344874355459e-10       3.672162626149e-14      -5.302754207224e-13       0.000000000000e+00       3.022703061391e-11       3.659650353881e-12      -9.214221545383e-15 
   67       2.375217772711e-10       3.833949353176e-14      -5.829354894470e-13       0.000000000000e+00       2.918030449255e-11       3.547170586876e-12      -8.910606261820e-15 
   68       2.406012862380e-10       3.998951146308e-14      -6.373164546495e-13       0.000000000000e+00       2.818027841703e-11       3.438614039677e-12      -8.506472732455e-15 
   69       2.437245801863e-10       4.167063452510e-14      -6.933538349059e-13       0.000000000000e+00       2.722493123869e-11       3.334567962111e-12      -8.108300760785e-15 
   70       2.468814690535e-10       4.338179027705e-14      -7.509694961922e-13       0.000000000000e+00       2.631177465447e-11       3.235510712864e-12      -7.839531189756e-15 
   71       2.500625865817e-10       4.512195303750e-14      -8.100949828953e-13       0.000000000000e+00       2.543783069446e-11       3.141644379631e-12      -7.808087624198e-15 
   72       2.532680488412e-10       4.689055506493e-14      -8.707301074128e-13       0.000000000000e+00       2.460144961844e-11       3.052098121413e-12      -8.011992852174e-15 
   73       2.565003401707e-10       4.868715301013e-14      -9.328953882665e-13       0.000000000000e+00       2.380075694255e-11       2.965564782192e-12      -8.416184924169e-15 
   74       2.597619597818e-10       5.051126429816e-14      -9.966113090498e-13       0.000000000000e+00       2.303347767296e-11       2.881007839133e-12      -8.971731132553e-15 
   75       2.630561276877e-10       5.236222639502e-14      -1.061886600485e-12       0.000000000000e+00       2.229821170100e-11       2.799204973249e-12      -9.588696193084e-15 
   76       2.663861785343e-10       5.423931381088e-14      -1.128728109044e-12       0.000000000000e+00       2.159333199220e-11       2.721479676074e-12      -1.015780493699e-14 
   77       2.697539720304e-10       5.614156393729e-14      -1.197122757454e-12       0.000000000000e+00       2.091691479191e-11       2.648780978864e-12      -1.058699600854e-14 
   78       2.731555071763e-10       5.806708283026e-14      -1.266968173245e-12       0.000000000000e+00       2.026781585951e-11       2.580192205093e-12      -1.089409645840e-14 
   79       2.765844903165e-10       6.001361479989e-14      -1.338129716244e-12       0.000000000000e+00       1.964473869601e-11       2.514156452064e-12      -1.113021394360e-14 
   80       2.800358152457e-10       6.197879404985e-14      -1.410484959403e-12       0.000000000000e+00       1.904614461720e-11       2.449320644206e-12      -1.133132472054e-14 
   81       2.835126490394e-10       6.396030049393e-14      -1.484000942455e-12       0.000000000000e+00       1.847105574693e-11       2.385838111288e-12      -1.145103330395e-14 
   82       2.870205085953e-10       6.595572421469e-14      -1.558669816209e-12       0.000000000000e+00       1.791835422976e-11       2.324280377105e-12      -1.141643461669e-14 
   83       2.905637370360e-10       6.796266815268e-14      -1.634468222847e-12       0.000000000000e+00       1.738673691705e-11       2.265155159325e-12      -1.118639191299e-14 
   84       2.941410133921e-10       6.997923367343e-14      -1.711300918835e-12       0.000000000000e+00       1.687538732087e-11       2.208608901397e-12      -1.087405548534e-14 
   85       2.977490877956e-10       7.200361155820e-14      -1.789047893602e-12       0.000000000000e+00       1.638338756638e-11       2.154675060882e-12      -1.064462416870e-14 
   86       3.013852599562e-10       7.403402944114e-14      -1.867613671070e-12       0.000000000000e+00       1.590966965366e-11       2.103261830653e-12      -1.062351688085e-14 
   87       3.050510575735e-10       7.606904917441e-14      -1.947031047529e-12       0.000000000000e+00       1.545354103707e-11       2.053832140693e-12      -1.071944660518e-14 
   88       3.087491138087e-10       7.810731746733e-14      -2.027373927571e-12       0.000000000000e+00       1.501422206607e-11       2.005669529384e-12      -1.077338864957e-14 
   89       3.124814576965e-10       8.014761758661e-14      -2.108705158720e-12       0.000000000000e+00       1.459080919609e-11       1.958204716033e-12      -1.065544768149e-14 
   90       3.162476143368e-10       8.218931441859e-14      -2.191008863514e-12       0.000000000000e+00       1.418269115338e-11       1.911756193516e-12      -1.040485632226e-14 
   91       3.200461963660e-10       8.423198188499e-14      -2.274248086157e-12       0.000000000000e+00       1.378918071051e-11       1.866901372041e-12      -1.011125165108e-14 
   92       3.238756662423e-10       8.627500801045e-14      -2.358374620383e-12       0.000000000000e+00       1.340950885831e-11       1.824102640650e-12      -9.851922592637e-15 
   93       3.277349777434e-10       8.831675753578e-14      -2.443295249093e-12       0.000000000000e+00       1.304322894516e-11       1.783227916230e-12      -9.626103315133e-15 
   94       3.316230069596e-10       9.035528766429e-14      -2.528900403147e-12       0.000000000000e+00       1.268986025130e-11       1.743958372159e-12      -9.411079995444e-15 
   95       3.355383437879e-10       9.238860126749e-14      -2.615074231026e-12       0.000000000000e+00       1.234875806799e-11       1.705931954863e-12      -9.182020191099e-15 
   96       3.394797988823e-10       9.441445284403e-14      -2.701698138238e-12       0.000000000000e+00       1.201922820684e-11       1.668829479760e-12      -8.919584210979e-15 
   97       3.434480325675e-10       9.642973482672e-14      -2.788662257076e-12       0.000000000000e+00       1.170090207655e-11       1.632650134066e-12      -8.634152660008e-15 
   98       3.474441445056e-10       9.843100066858e-14      -2.875855434138e-12       0.000000000000e+00       1.139340591853e-11       1.597473902556e-12      -8.345043061288e-15 
   99       3.514691729012e-10       1.004146477315e-13      -2.963161646714e-12       0.000000000000e+00       1.109624127559e-11       1.563377539054e-12      -8.073196647838e-15 
  100       3.555237337041e-10       1.023774756368e-13      -3.050479096484e-12       0.000000000000e+00       1.080886892436e-11       1.530418123046e-12      -7.836574647787e-15 
  101       3.596068895766e-10       1.043184568136e-13      -3.137780704535e-12       0.000000000000e+00       1.053098317939e-11       1.498581522089e-12      -7.635521565112e-15 
  102       3.637171137055e-10       1.062372101770e-13      -3.225062005241e-12       0.000000000000e+00       1.026226843414e-11       1.467826301569e-12      -7.465415693919e-15 
  103       3.678526238957e-10       1.081334658565e-13      -3.312322888411e-12       0.000000000000e+00       1.000231134326e-11       1.438098942652e-12      -7.321116998530e-15 
