# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:gr.fac. D             15:gr.fac. f             16:(.)rho_smg            17:(.)p_smg              18:M*^2_smg              19:kineticity_smg        20:braiding_smg          21:tensor_excess_smg     22:Mpl_running_smg       23:c_s^2                 24:kin (D)            
       9.326212236469e+13       8.690109267060e-26       4.969479050487e-09       1.876595376800e+22       1.416504574683e+04       1.518842311077e-10       1.321062229743e+18       2.869287227187e-09       2.081614238068e+44       1.988512843847e+33       1.086497713064e+34       1.439995970030e+44       3.521610208226e+44       6.174606894083e-18       2.000000000005e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       9.918511065580e-53       2.479627766395e-52       0.000000000000e+00       0.000000000000e+00       7.499999996397e+00       9.918511065580e-53 
       9.261382558559e+13       8.812196612153e-26       5.004039849155e-09       1.850596348697e+22       1.416504574683e+04       1.529474207254e-10       1.311879076209e+18       2.889372237778e-09       2.024334923495e+44       1.947331947224e+33       1.063997003481e+34       1.400371922191e+44       3.424706845811e+44       6.261353946338e-18       2.000000000004e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       1.019915904968e-52       2.549789762420e-52       0.000000000000e+00       0.000000000000e+00       7.499999998398e+00       1.019915904968e-52 
       9.197003533823e+13       8.935999162357e-26       5.040419637226e-09       1.824957520492e+22       1.416504574683e+04       1.540180526705e-10       1.302759757904e+18       2.909597843442e-09       1.968631751041e+44       1.907003882029e+33       1.041962269965e+34       1.361838200436e+44       3.330469951600e+44       6.349319707931e-18       2.000000000003e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       1.048774807356e-52       2.621937018390e-52       0.000000000000e+00       0.000000000000e+00       7.499999997871e+00       1.048774807356e-52 
       9.133072029615e+13       9.061541014589e-26       5.074980435893e-09       1.799673901845e+22       1.416504574683e+04       1.550961790392e-10       1.293703831086e+18       2.929965028346e-09       1.914461350357e+44       1.867510986638e+33       1.020383862434e+34       1.324364802505e+44       3.238826152983e+44       6.438521300508e-18       2.000000000002e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       1.078450283192e-52       2.696125707981e-52       0.000000000000e+00       0.000000000000e+00       7.499999998009e+00       1.078450283192e-52 
       9.069584935070e+13       9.188846604302e-26       5.109541234560e-09       1.774740571556e+22       1.416504574683e+04       1.561818522925e-10       1.284710855100e+18       2.950474783544e-09       1.861781544502e+44       1.828835965191e+33       9.992523306542e+33       1.287922551705e+44       3.149704096326e+44       6.528976086259e-18       2.000000000001e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       1.108965437728e-52       2.772413594320e-52       0.000000000000e+00       0.000000000000e+00       7.499999997973e+00       1.108965437728e-52 
       9.006539160943e+13       9.317940710246e-26       5.145921022631e-09       1.750152676602e+22       1.416504574683e+04       1.572751252585e-10       1.275780392354e+18       2.971128107029e-09       1.810551317112e+44       1.790961880015e+33       9.785584200989e+33       1.252483074190e+44       3.063034391418e+44       6.620701671294e-18       2.000000000000e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       1.140344029986e-52       2.850860074965e-52       0.000000000000e+00       0.000000000000e+00       7.499999997982e+00       1.140344029986e-52 
       8.943931639467e+13       9.448848459284e-26       5.182300810702e-09       1.725905431200e+22       1.416504574683e+04       1.583760511353e-10       1.266912008296e+18       2.991926003778e-09       1.760730780460e+44       1.753872144203e+33       9.582930678975e+33       1.218018776871e+44       2.978749557444e+44       6.713715909074e-18       1.999999999999e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       1.172610491260e-52       2.931526228150e-52       0.000000000000e+00       0.000000000000e+00       7.499999997979e+00       1.172610491260e-52 
       8.881759324197e+13       9.581595331288e-26       5.218680598773e-09       1.701994115866e+22       1.416504574683e+04       1.594846834933e-10       1.258105271396e+18       3.012869485804e-09       1.712281144399e+44       1.717550514356e+33       9.384473988662e+33       1.184502825932e+44       2.896783970443e+44       6.808036903881e-18       1.999999999999e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       1.205789944136e-52       3.014474860341e-52       0.000000000000e+00       0.000000000000e+00       7.499999997979e+00       1.205789944136e-52 
       8.820019189868e+13       9.716207164097e-26       5.255060386844e-09       1.678414076505e+22       1.416504574683e+04       1.606010762777e-10       1.249359753124e+18       3.033959572205e-09       1.665164686165e+44       1.681981083465e+33       9.190127216208e+33       1.151909125938e+44       2.817073812212e+44       6.903683014344e-18       1.999999999998e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       1.239908222054e-52       3.099770555136e-52       0.000000000000e+00       0.000000000000e+00       7.499999997979e+00       1.239908222054e-52 
       8.758708232243e+13       9.852710158545e-26       5.291440174915e-09       1.655160723501e+22       1.416504574683e+04       1.617252838117e-10       1.240675027929e+18       3.055197289210e-09       1.619344721000e+44       1.647148273944e+33       8.999805247701e+33       1.120212299515e+44       2.739557020621e+44       7.000672857012e-18       1.999999999997e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       1.274991889420e-52       3.187479723550e-52       0.000000000000e+00       0.000000000000e+00       7.499999997978e+00       1.274991889420e-52 
       8.697823467967e+13       9.991130883562e-26       5.329638952389e-09       1.632229530823e+22       1.416504574683e+04       1.628573607984e-10       1.232050673216e+18       3.076583670235e-09       1.574785573594e+44       1.613036830811e+33       8.813424731891e+33       1.089387667592e+44       2.664173241290e+44       7.099025309980e-18       1.999999999996e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       1.311068262289e-52       3.277670655722e-52       0.000000000000e+00       0.000000000000e+00       7.499999997978e+00       1.311068262289e-52 
       8.637361934426e+13       1.013149628135e-25       5.366018740460e-09       1.609616035145e+22       1.416504574683e+04       1.639973623239e-10       1.223486269331e+18       3.098119755926e-09       1.531452550306e+44       1.579631815005e+33       8.630904043679e+33       1.059411230189e+44       2.590863780597e+44       7.198759516560e-18       1.999999999995e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       1.348165429635e-52       3.370413574088e-52       0.000000000000e+00       0.000000000000e+00       7.499999997978e+00       1.348165429635e-52 
       8.577320689599e+13       1.027383367260e-25       5.404217517935e-09       1.587315834980e+22       1.416504574683e+04       1.651453438602e-10       1.214981399534e+18       3.119806594217e-09       1.489311912151e+44       1.546918596845e+33       8.452163248374e+33       1.030259647727e+44       2.519571559978e+44       7.299894889007e-18       1.999999999994e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       1.386312275221e-52       3.465780688052e-52       0.000000000000e+00       0.000000000000e+00       7.499999997977e+00       1.386312275221e-52 
       8.517696811915e+13       1.041817076187e-25       5.440597306006e-09       1.565324589818e+22       1.416504574683e+04       1.663013612672e-10       1.206535649984e+18       3.141645240377e-09       1.448330848536e+44       1.514882849619e+33       8.277124066682e+33       1.001910222855e+44       2.450241071488e+44       7.402451112303e-18       1.999999999994e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       1.425538500085e-52       3.563846250211e-52       0.000000000000e+00       0.000000000000e+00       7.499999997977e+00       1.425538500085e-52 
       8.458487400115e+13       1.056453564290e-25       5.478796083480e-09       1.543638019285e+22       1.416504574683e+04       1.674654707961e-10       1.198148609716e+18       3.163636757059e-09       1.408477451704e+44       1.483510543315e+33       8.105709840428e+33       9.743408827823e+43       2.382818334582e+44       7.506448147979e-18       1.999999999993e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       1.465874645667e-52       3.664686614168e-52       0.000000000000e+00       0.000000000000e+00       7.499999997977e+00       1.465874645667e-52 
