# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.692406812128e-10       8.932392737655e-15       2.179134927992e-13       0.000000000000e+00       8.180541741797e-11       8.886443523876e-12      -5.695189640477e-15 
   43       1.717387898632e-10       9.657309623265e-15       2.061038118567e-13       0.000000000000e+00       7.789683232694e-11       8.504551806612e-12      -5.880036996265e-15 
   44       1.741443098608e-10       1.041865576272e-14       1.930531015042e-13       0.000000000000e+00       7.423665541924e-11       8.141339925730e-12      -6.858791882174e-15 
   45       1.766283549426e-10       1.121774082955e-14       1.787104186287e-13       0.000000000000e+00       7.080583155035e-11       7.783715342071e-12      -8.632222024528e-15 
   46       1.791385162101e-10       1.205466265396e-14       1.627168698538e-13       0.000000000000e+00       6.758483108808e-11       7.467620187482e-12      -1.026989852480e-14 
   47       1.816709542061e-10       1.292894395367e-14       1.449627243721e-13       0.000000000000e+00       6.455954944453e-11       7.183882252615e-12      -1.146169156173e-14 
   48       1.842498234825e-10       1.384005453180e-14       1.254100515518e-13       0.000000000000e+00       6.171290761133e-11       6.908942551056e-12      -1.214227466637e-14 
   49       1.868425976714e-10       1.478794471498e-14       1.039258917334e-13       0.000000000000e+00       5.903305142992e-11       6.637576389752e-12      -1.228166594570e-14 
   50       1.894147676254e-10       1.577291295098e-14       8.037711798369e-14       0.000000000000e+00       5.650632325869e-11       6.371177249888e-12      -1.187063959340e-14 
   51       1.920124237998e-10       1.679634486826e-14       5.477922547656e-14       0.000000000000e+00       5.412287928727e-11       6.119139048362e-12      -1.093667071291e-14 
   52       1.946853412089e-10       1.785960790834e-14       2.722165416610e-14       0.000000000000e+00       5.187138197328e-11       5.890172116934e-12      -9.562939329499e-15 
   53       1.973849756566e-10       1.896231358206e-14      -2.101946658160e-15       0.000000000000e+00       4.974361630114e-11       5.677726993196e-12      -8.001483330617e-15 
   54       2.000548195154e-10       2.010365071615e-14      -3.300639730127e-14       0.000000000000e+00       4.773019349440e-11       5.472326259901e-12      -6.549045536753e-15 
   55       2.027478096624e-10       2.128350556018e-14      -6.554768108799e-14       0.000000000000e+00       4.582417618136e-11       5.274321874517e-12      -5.394051156532e-15 
   56       2.055251167721e-10       2.250174510056e-14      -9.979946539991e-14       0.000000000000e+00       4.401767451969e-11       5.086746204289e-12      -4.677849481442e-15 
   57       2.083327234543e-10       2.375743606621e-14      -1.355956483868e-13       0.000000000000e+00       4.230480747920e-11       4.912380076603e-12      -4.423836943201e-15 
   58       2.111059368336e-10       2.504962776033e-14      -1.727567002600e-13       0.000000000000e+00       4.067892733046e-11       4.752168074010e-12      -4.616808038108e-15 
   59       2.138965599095e-10       2.637863945922e-14      -2.113939179091e-13       0.000000000000e+00       3.913500130059e-11       4.599320811217e-12      -5.227292981592e-15 
   60       2.167681088735e-10       2.774512721398e-14      -2.516830067963e-13       0.000000000000e+00       3.766737360210e-11       4.446514521083e-12      -6.180238887509e-15 
   61       2.196776996791e-10       2.914956257127e-14      -2.936819976404e-13       0.000000000000e+00       3.627174618433e-11       4.296124142631e-12      -7.241813597071e-15 
   62       2.225699572442e-10       3.059209647833e-14      -3.374201079807e-13       0.000000000000e+00       3.494331826712e-11       4.152775457366e-12      -8.155011693180e-15 
   63       2.254808373721e-10       3.207164932281e-14      -3.829332694831e-13       0.000000000000e+00       3.367839352341e-11       4.018445961034e-12      -8.827026189553e-15 
   64       2.284569986289e-10       3.358687145753e-14      -4.302524469504e-13       0.000000000000e+00       3.247286646542e-11       3.893579948166e-12      -9.218295134766e-15 
   65       2.314715634769e-10       3.513707437195e-14      -4.793725024595e-13       0.000000000000e+00       3.132358556819e-11       3.775134904153e-12      -9.337105793779e-15 
   66       2.344874250725e-10       3.672162579519e-14      -5.302752966094e-13       0.000000000000e+00       3.022703221348e-11       3.659647316361e-12      -9.214213428265e-15 
   67       2.375217733739e-10       3.833949364031e-14      -5.829352690840e-13       0.000000000000e+00       2.918030604501e-11       3.547165437739e-12      -8.910607028382e-15 
   68       2.406012829647e-10       3.998951112774e-14      -6.373161800285e-13       0.000000000000e+00       2.818027992398e-11       3.438611084478e-12      -8.506487306705e-15 
   69       2.437245717911e-10       4.167063278243e-14      -6.933535457382e-13       0.000000000000e+00       2.722493270185e-11       3.334569648280e-12      -8.108328900371e-15 
   70       2.468814521974e-10       4.338178651520e-14      -7.509691957581e-13       0.000000000000e+00       2.631177607578e-11       3.235515856854e-12      -7.839565688981e-15 
   71       2.500625604493e-10       4.512194706067e-14      -8.100946486583e-13       0.000000000000e+00       2.543783207599e-11       3.141648837214e-12      -7.808116157554e-15 
   72       2.532680146219e-10       4.689054721507e-14      -8.707297501401e-13       0.000000000000e+00       2.460145096199e-11       3.052098999595e-12      -8.012008284125e-15 
   73       2.565003010725e-10       4.868714424574e-14      -9.328950718306e-13       0.000000000000e+00       2.380075824953e-11       2.965561773740e-12      -8.416188757083e-15 
   74       2.597619207084e-10       5.051125597202e-14      -9.966111300791e-13       0.000000000000e+00       2.303347894438e-11       2.881002943325e-12      -8.971731969884e-15 
   75       2.630560932041e-10       5.236221911112e-14      -1.061886584301e-12       0.000000000000e+00       2.229821293807e-11       2.799200354447e-12      -9.588700097626e-15 
   76       2.663861522354e-10       5.423930703307e-14      -1.128728173932e-12       0.000000000000e+00       2.159333319642e-11       2.721477053517e-12      -1.015781243294e-14 
   77       2.697539560652e-10       5.614155627694e-14      -1.197122742730e-12       0.000000000000e+00       2.091691596497e-11       2.648781444186e-12      -1.058700298730e-14 
   78       2.731555006602e-10       5.806707364976e-14      -1.266967993550e-12       0.000000000000e+00       2.026781700280e-11       2.580195647838e-12      -1.089409996471e-14 
   79       2.765844886463e-10       6.001360473104e-14      -1.338129411775e-12       0.000000000000e+00       1.964473981042e-11       2.514161302397e-12      -1.113021392691e-14 
   80       2.800358111774e-10       6.197878470843e-14      -1.410484669691e-12       0.000000000000e+00       1.904614570322e-11       2.449324242503e-12      -1.133132356517e-14 
   81       2.835126383867e-10       6.396029286234e-14      -1.484000754418e-12       0.000000000000e+00       1.847105680519e-11       2.385838724679e-12      -1.145103286979e-14 
   82       2.870204920925e-10       6.595571813173e-14      -1.558669716760e-12       0.000000000000e+00       1.791835526118e-11       2.324277848095e-12      -1.141643535308e-14 
   83       2.905637191300e-10       6.796266243212e-14      -1.634468113857e-12       0.000000000000e+00       1.738673792279e-11       2.265150770618e-12      -1.118639301189e-14 
